,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300
YAR018C,,,0.0233333333333,0.025,0.0283333333333,0.015,0.0116666666667,0.0177777777778,0.0444444444444,0.0454166666667,0.0594444444444,0.0394444444444
YAR019C,0.035,,,0.0133333333333,0.0216666666667,0.00833333333333,0.0133333333333,0.0116666666667,0.0333333333333,,,
YAR023C,,,,,,,,,,,,0.0
YAR027W,0.101666666667,0.108333333333,0.0483333333333,0.0425,0.0454166666667,0.0345833333333,0.0283333333333,0.03125,0.0808333333333,0.0691666666667,0.106666666667,0.0725
YAR028W,,,0.055,0.0483333333333,0.0483333333333,0.0433333333333,0.03,0.0333333333333,,,,0.0633333333333
YAR029W,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,
YAR030C,,,0.0,,,,0.0,,,,,
YAR031W,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0
YAR033W,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
YAR035W,,,0.0116666666667,0.0122222222222,0.0166666666667,0.00958333333333,0.00416666666667,0.00666666666667,0.015,,,0.0233333333333
YAR042W,0.06,0.06,0.0191666666667,0.025,0.0291666666667,0.015,0.0166666666667,0.0170833333333,0.0391666666667,0.0383333333333,0.0683333333333,0.0458333333333
YAR050W,,,,0.0,,,,0.0,,,,
YAR068W,,,0.0,0.0,,0.0,0.0,0.0,,,,
YAR071W,,,,,0.0,,0.0,,,,,0.0
YBL001C,0.14625,0.157222222222,0.0813636363636,0.082619047619,0.0807692307692,0.0575,0.0552941176471,0.060641025641,0.121666666667,0.115833333333,0.145,0.113666666667
YBL002W,0.234166666667,0.242083333333,0.142098765432,0.143534482759,0.148874458874,0.100501474926,0.102155555556,0.10375,0.189861111111,0.19380952381,0.22625,0.185833333333
YBL003C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBL004W,0.035,0.0458333333333,0.0147222222222,0.0158333333333,0.019,0.0107692307692,0.00858974358974,0.0112962962963,0.0285714285714,0.0276666666667,0.0388888888889,0.0238888888889
YBL005W,,,,0.0183333333333,0.0133333333333,0.00833333333333,0.0133333333333,0.0111111111111,,,,0.0266666666667
