#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
103,YAR047C,YAR047C,0,0,0,0,0,0,0,0,N/A,N/A,,4, Dubious ORF
104,YAR050W,FLO1,0,0,0,"0,1",0,0,"0,02","0,04",N/A,"173,2%",7,, Verified ORF
105,YAR053W,YAR053W,"6,1","4,9","5,1","5,6","6,8","6,7","5,87","0,8","12,0%","6,0%",,, Dubious ORF
106,YAR060C,YAR060C,"2,6","2,6",3,"3,3","2,9","2,9","2,88","0,26","8,4%","11,8%",,, Dubious ORF
107,YAR061W,YAR061W,0,"0,1",0,0,"0,2","0,1","0,07","0,08","173,2%",N/A,,, pseudogene
108,YAR062W,YAR062W,0,0,0,0,0,"0,1","0,02","0,04",N/A,"173,2%",,, pseudogene
109,YAR064W,YAR064W,0,"0,1","0,4","0,3","0,2","0,2","0,2","0,14","124,9%","89,2%",25,, Uncharacterized ORF
110,YAR066W,YAR066W,"31,9","33,7",34,"35,4","36,4","34,5","34,32","1,54","3,4%","8,0%",223,, Uncharacterized ORF
111,YAR068W,YAR068W,"21,2","24,6","20,1","24,6","20,2","18,1","21,47","2,63","10,7%","8,0%",2.214,, Uncharacterized ORF
112,YAR069C,YAR069C,"0,5","0,5","0,6","0,5","0,5","0,7","0,55","0,08","10,8%","43,3%",,, Dubious ORF
113,YAR070C,YAR070C,"0,3","0,6","0,6","0,7","0,7","0,2","0,52","0,21","34,6%","40,0%",,, Dubious ORF
114,YAR071W,PHO11,"0,7","0,5","0,4","0,7","1,2","0,9","0,73","0,29","28,6%","0,0%",288,, Verified ORF
115,YAR073W,IMD1,0,0,"0,1",0,0,0,"0,02","0,04","173,2%",N/A,708,, Dubious ORF
116,YAR075W,YAR075W,"0,2",0,0,0,0,0,"0,03","0,08","173,2%","173,2%",1,1, Dubious ORF
117,YBL001C,ECM15,"338,1",347,"336,2","304,3","311,8","298,5","322,65","20,26","1,7%","7,9%",572,113, Verified ORF
118,YBL002W,HTB2,"1097,9","1121,9","1119,9","1126,8","1114,6","1121,9","1117,17","10,23","1,2%","1,4%",3.152,"290,5", Verified ORF
119,YBL003C,HTA2,"1085,7","1082,1","1087,8","1101,7","1092,5","1094,4","1090,7",7,"0,3%","1,0%",1.740,"543,5", Verified ORF
120,YBL004W,UTP20,"103,8",101,"103,5","98,6","103,3",103,"102,2","2,02","1,5%","5,6%",1.486,"22,5", Verified ORF
121,YBL005W,PDR3,"28,4",28,"26,9","29,6","28,6","28,9","28,4","0,91","2,8%","2,2%",430,"38,5", Verified ORF
122,YBL005W-A,YBL005W-A,0,0,0,0,0,0,0,0,N/A,N/A,149,, transposable_element_gene
123,YBL005W-B,YBL005W-B,"427,7","426,3","432,4","437,6","386,7","413,4","420,68","18,5","0,7%","2,8%",,, transposable_element_gene
124,YBL006C,LDB7,"96,1","98,4","98,4","89,3","93,9","98,3","95,73","3,62","1,4%","4,9%",950,86, Verified ORF
125,YBL006W-A,YBL006W-A,"0,7","1,6",1,"1,1","1,2","1,1","1,12","0,29","41,7%","32,9%",,, Dubious ORF
126,YBL007C,SLA1,"124,3","126,6","127,6","124,7","134,1","133,1","128,4","4,22","1,3%","4,7%",1.422,"73,5", Verified ORF
127,YBL008W,HIR1,"21,4",24,"23,7","23,7",24,"20,4","22,87","1,56","6,2%","5,9%",478,1, Verified ORF
128,YBL008W-A,YBL008W-A,"1,4","1,9","2,1","3,3","2,4","1,5","2,1","0,7","20,0%","39,5%",41,, Uncharacterized ORF
129,YBL009W,ALK2,"36,8","39,8","40,4","37,7","38,8",42,"39,25","1,89","4,9%","4,3%",461,17, Verified ORF
130,YBL010C,YBL010C,"22,8","24,6","24,5","24,7","22,4","24,7","23,95","1,06","4,2%","8,1%",222,"17,5", Uncharacterized ORF
131,YBL011W,SCT1,"68,4","67,8","66,4","75,5","73,2","69,8","70,18","3,48","1,5%","8,0%",1.042,29, Verified ORF
132,YBL012C,YBL012C,"0,1","0,1","0,2","0,3","0,1","0,3","0,18","0,1","43,3%","49,5%",,3, Dubious ORF
133,YBL013W,FMT1,"3,5",3,"4,1","4,2",2,"3,7","3,42","0,82","15,6%","9,5%",19,1, Verified ORF
134,YBL014C,RRN6,"37,9",39,42,"39,1","36,9","35,1","38,33","2,33","5,4%","1,6%",511,8, Verified ORF
135,YBL015W,ACH1,"31,6","32,2","32,8","31,6","36,4","34,9","33,25","1,97","1,9%","4,6%",760,13, Verified ORF
136,YBL016W,FUS3,"97,6","98,5","101,3","96,7","91,8","95,3","96,87","3,19","1,9%","3,8%",1.043,21, Verified ORF
137,YBL017C,PEP1,"108,9","110,6","111,8",110,"117,7","114,2","112,2","3,25","1,3%","1,2%",2.170,48, Verified ORF
138,YBL019W,APN2,"16,8","16,3","16,2","15,3","16,7","16,5","16,3","0,54","2,0%","4,9%",472,, Verified ORF
139,YBL020W,RFT1,"52,7","52,8","54,6","56,4","52,4","54,1","53,83","1,53","2,0%","5,8%",1.066,12, Verified ORF
140,YBL021C,HAP3,"31,7",36,"32,7","36,8","32,5","34,5","34,03","2,06","6,7%","7,5%",174,"12,5", Verified ORF
141,YBL022C,PIM1,"91,2","97,7","93,3",95,"87,2","94,2","93,1","3,59","3,5%","2,1%",993,42, Verified ORF
142,YBL023C,MCM2,"39,3","39,7","38,3","35,7","38,9","36,5","38,07","1,61","1,8%","4,8%",838,8, Verified ORF
143,YBL024W,NCL1,98,"92,8",100,"107,9",103,"104,5","101,03","5,31","3,8%","10,2%",3.084,"6,5", Verified ORF
144,YBL025W,RRN10,"21,1","18,5","19,3","22,1","18,2","22,3","20,25","1,82","6,8%","6,8%",182,"10,5", Verified ORF
145,YBL028C,YBL028C,"186,5","190,7","185,1","198,3","195,2","191,5","191,22","5,02","1,6%","3,1%",167,"101,5", Verified ORF
146,YBL029W,YBL029W,"27,7","26,6","24,9","23,9","24,9","23,1","25,18","1,7","5,3%","7,6%",72,9, Uncharacterized ORF
147,YBL030C,PET9,"809,6","801,3","811,2","836,9","823,8","820,4","817,2","12,56","0,7%","5,4%",5.871,"200,5", Verified ORF
148,YBL031W,SHE1,"18,8","21,2","18,2","20,8","17,6","19,4","19,33","1,43","8,2%","5,8%",131,"7,5", Verified ORF
149,YBL032W,HEK2,"132,3","139,1","136,1","136,6","138,7","137,7","136,75","2,47","2,5%","7,7%",883,99, Verified ORF
150,YBL033C,RIB1,"92,9","91,9","93,4","99,3","90,8","94,7","93,83","2,99","0,8%","5,4%",1.411,22, Verified ORF
151,YBL034C,STU1,"24,9","23,3","24,7","21,6","22,8","23,6","23,48","1,23","3,6%","7,1%",443,10, Verified ORF
152,YBL035C,POL12,"31,3","29,3","32,6","29,3",28,"31,7","30,37","1,76","5,4%","5,5%",619,"13,5", Verified ORF
153,YBL036C,YBL036C,"140,1","144,9","143,6","147,4","141,3","156,5","145,63","5,92","1,7%","7,4%",747,29, Verified ORF
154,YBL037W,APL3,"37,8","41,4","36,6","36,1","37,4","41,3","38,43","2,34","6,5%","7,5%",421,10, Verified ORF
155,YBL038W,MRPL16,"71,7","71,8","74,1",78,"76,7","78,2","75,08","2,97","1,9%","6,8%",660,"34,5", Verified ORF
156,YBL039C,URA7,"153,5","155,6","156,2","159,1","146,4","164,8","155,93","6,09","0,9%","2,0%",2.926,28, Verified ORF
157,YBL039C-A,YBL039C-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
158,YBL039W-B,YBL039W-B,"41,8","39,7","40,4","36,1",36,"34,5","38,08","2,93","2,6%","9,0%",,14, Uncharacterized ORF
159,YBL041W,PRE7,"280,9","279,6","280,3","290,1","280,1","285,8","282,8","4,24","0,2%","2,7%",1.977,118, Verified ORF
160,YBL042C,FUI1,"57,4","54,3","57,1","59,8","59,1","52,8","56,75","2,72","3,0%","4,9%",1.398,22, Verified ORF
161,YBL043W,ECM13,"27,8","32,2","30,3","30,1","33,9","32,9","31,2","2,23","7,3%","5,7%",437,4, Verified ORF
162,YBL044W,YBL044W,"2,2",2,"1,4","1,1","2,1","2,4","1,87","0,5","22,3%","38,2%",4,"3,5", Uncharacterized ORF
163,YBL045C,COR1,"260,2","261,8","259,5","261,9","262,2","257,1","260,45","1,96","0,5%","3,3%",2.950,"69,5", Verified ORF
164,YBL046W,PSY4,"32,4","33,3","31,4","31,9","33,5","32,7","32,53","0,81","2,9%","0,8%",368,20, Verified ORF
165,YBL047C,EDE1,"133,2","125,8","130,6","123,4","127,8","126,6","127,9","3,51","2,9%","4,7%",1.806,67, Verified ORF
166,YBL048W,YBL048W,"6,3","5,8","4,3","4,8","5,3","6,2","5,45","0,8","19,0%","15,2%",,3, Dubious ORF
167,YBL049W,MOH1,"11,1","12,1","14,5","12,2","13,2","13,7","12,8","1,23","13,9%","15,8%",104,, Verified ORF
168,YBL051C,PIN4,"142,4",136,"136,4","147,9","151,7","149,5","143,98","6,77","2,6%","9,7%",1.140,"54,5", Verified ORF
169,YBL052C,SAS3,"54,7","53,1","53,5","49,8","49,3","55,9","52,72","2,65","1,5%","6,8%",629,, Verified ORF
170,YBL053W,YBL053W,"8,1","9,4","9,1","9,3","10,2","9,9","9,33","0,73","7,7%","7,0%",,, Dubious ORF
171,YBL054W,YBL054W,"68,3","72,8","74,4","72,4","70,2","73,7","71,97","2,3","4,4%","3,2%",934,"7,5", Uncharacterized ORF
172,YBL055C,YBL055C,"30,2","30,6","32,5","30,1","32,9","34,1","31,73","1,66","4,0%","6,2%",580,"39,5", Verified ORF
173,YBL056W,PTC3,"220,2","216,9","216,2","219,6","209,9","211,3","215,68","4,25","1,0%","1,3%",1.479,"119,5", Verified ORF
174,YBL057C,PTH2,"55,5","52,5","53,2","59,8","62,1","62,2","57,55","4,38","2,9%","4,6%",446,, Verified ORF
175,YBL058W,SHP1,"143,8","141,2","140,6",144,"136,8",139,"140,9","2,78","1,2%","2,3%",1.601,, Verified ORF
176,YBL060W,YBL060W,"31,4","29,9","28,6","31,7",32,"31,6","30,87","1,33","4,7%","3,9%",356,"28,5", Uncharacterized ORF
177,YBL061C,SKT5,79,"76,7","80,4",85,"80,5","84,2","80,97","3,14","2,4%","10,0%",1.262,, Verified ORF
178,YBL062W,YBL062W,"0,6","0,4","0,5","0,5","0,4",1,"0,57","0,23","20,0%","10,2%",,, Dubious ORF
179,YBL063W,KIP1,"20,7",21,"19,2","21,5","18,4","18,7","19,92","1,31","4,8%","6,0%",271,, Verified ORF
180,YBL064C,PRX1,"114,9","111,6","116,5",107,"111,5","109,5","111,83","3,47","2,2%","9,0%",871,, Verified ORF
181,YBL065W,YBL065W,"0,6","0,5","0,3","0,6","0,7","0,3","0,5","0,17","32,7%","31,5%",,, Dubious ORF
182,YBL066C,SEF1,"27,3","26,1","29,3",27,"29,1","30,3","28,18","1,62","5,9%","2,3%",206,1, Verified ORF
183,YBL067C,UBP13,"42,8","41,4","42,9","40,4","43,4","43,6","42,42","1,25","2,0%","7,0%",482,"16,5", Verified ORF
184,YBL068W,PRS4,"75,4","71,9","75,7","74,8","77,5","76,9","75,37","1,97","2,8%","3,3%",1.503,35, Verified ORF
185,YBL068W-A,YBL068W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
186,YBL069W,AST1,"56,2","53,5","53,2","52,8","56,9","56,7","54,88","1,91","3,0%","3,2%",601,, Verified ORF
187,YBL070C,YBL070C,"0,6","0,7","0,4","0,5","0,6","0,4","0,53","0,12","27,0%","32,7%",,, Dubious ORF
188,YBL071C,YBL071C,"2,2","2,3",2,"2,4","1,7","2,2","2,13","0,25","7,1%","9,1%",,, Dubious ORF
189,YBL071C-B,YBL071C-B,"240,7","247,1","244,2","259,4","253,4","275,2","253,33","12,62","1,3%","3,9%",9,, Uncharacterized ORF
190,YBL071W-A,KTI11,"97,9","90,3","89,8","103,4",89,"100,9","95,22","6,3","4,9%","2,8%",334,, Verified ORF
191,YBL072C,RPS8A,"981,7","989,6","999,4",939,"1003,8","954,8","978,05","25,81","0,9%","3,0%",5.837,, Verified ORF
192,YBL073W,YBL073W,0,0,0,"0,1",0,0,"0,02","0,04",N/A,"173,2%",,1, Dubious ORF
193,YBL074C,AAR2,"8,9","9,6","9,5",9,"8,6","9,8","9,23","0,47","4,1%","2,9%",55,1, Verified ORF
