#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
3670,YKL138C-A,HSK3,53,"50,4","52,8","47,6",52,"51,8","51,27","2,02","2,8%","5,5%",61,, Verified ORF
3671,YKL139W,CTK1,"38,1","40,2","39,2","39,5","37,9","39,6","39,08","0,9","2,7%","1,8%",471,, Verified ORF
3672,YKL140W,TGL1,"51,8","51,2","51,1","48,9","50,2","49,3","50,42","1,15","0,7%","5,6%",962,, Verified ORF
3673,YKL141W,SDH3,"175,9","183,2",187,"194,6",183,"188,4","185,35","6,28","3,1%","5,7%",1.054,, Verified ORF
3674,YKL142W,MRP8,"197,4","197,8","200,9","217,7","211,2","211,6","206,1","8,51","1,0%","11,3%",1.996,, Verified ORF
3675,YKL143W,LTV1,"66,7","68,7","71,9",66,"63,9","64,2","66,9","3,01","3,8%","8,6%",767,, Verified ORF
3676,YKL144C,RPC25,"50,1","51,8","51,1",50,"48,2","49,6","50,13","1,25","1,7%","2,1%",212,, Verified ORF
3677,YKL145W,RPT1,"212,5","216,2","209,4","209,6","202,1","209,5","209,88","4,64","1,6%","4,6%",2.524,, Verified ORF
3678,YKL145W-A,YKL145W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
3679,YKL146W,AVT3,51,"47,7","50,8","48,3","52,8",54,"50,77","2,45","3,7%","3,1%",1.435,, Verified ORF
3680,YKL147C,YKL147C,"1,2","1,7","1,6","1,9","1,9","1,5","1,63","0,27","17,6%","31,1%",,, Dubious ORF
3681,YKL148C,SDH1,"93,3",91,89,"89,8","91,2","90,6","90,82","1,46","2,4%","3,1%",1.445,, Verified ORF
3682,YKL149C,DBR1,"39,5","37,4","38,3","41,9","41,6","39,1","39,63","1,79","2,7%","3,4%",396,, Verified ORF
3683,YKL150W,MCR1,"176,4","166,9","176,9","174,2","173,7",174,"173,68","3,58","3,2%","2,4%",1.375,, Verified ORF
3684,YKL151C,YKL151C,"61,6","61,5","60,6","59,1","60,2","60,7","60,62","0,92","0,9%","2,7%",485,, Uncharacterized ORF
3685,YKL152C,GPM1,"6459,3","6470,1","6528,7","6246,5","6312,8","6282,1","6383,25","116,94","0,6%","3,6%",19.793,, Verified ORF
3686,YKL153W,YKL153W,"1,1","0,6","0,9","0,7","0,5","0,7","0,75","0,22","29,0%","33,1%",,, Dubious ORF
3687,YKL154W,SRP102,"90,6","90,1","89,6","89,2","89,7","89,5","89,78","0,5","0,6%","2,7%",466,, Verified ORF
3688,YKL155C,RSM22,"51,8","52,3","48,5","49,1","48,7","49,7","50,02","1,64","4,1%","7,4%",480,, Verified ORF
3689,YKL156C-A,YKL156C-A,0,"0,1","0,2","0,1","0,2",0,"0,1","0,09","100,0%","173,2%",,, Dubious ORF
3690,YKL159C,RCN1,"27,3","30,7","30,4","30,3","26,4","26,4","28,58","2,09","6,4%","6,0%",196,, Verified ORF
3691,YKL160W,ELF1,"147,6","153,9","149,7","138,2","120,6","141,4","141,9","11,87","2,1%","3,6%",872,, Verified ORF
3692,YKL161C,YKL161C,"11,2","10,9","12,5","11,5","11,5","13,3","11,82","0,9","7,4%","1,3%",193,, Verified ORF
3693,YKL162C,YKL162C,"17,3","12,8","12,7","15,6","14,9","15,5","14,8","1,78","18,4%","6,3%",156,, Uncharacterized ORF
3694,YKL162C-A,YKL162C-A,"6,4","7,4","7,8","6,4","6,2","6,1","6,72","0,71","10,0%","11,0%",,, Dubious ORF
3695,YKL163W,PIR3,"45,7","45,6","44,5","48,4",49,"45,8","46,5","1,78","1,5%","4,0%",469,, Verified ORF
3696,YKL164C,PIR1,"445,2","446,8","439,8","430,8","430,9","431,7","437,53","7,39","0,8%","6,0%",2.725,, Verified ORF
3697,YKL165C,MCD4,"51,3","56,4","54,2","56,4","55,1","52,8","54,37","2,03","4,7%","6,1%",1.802,, Verified ORF
3698,YKL165C-A,YKL165C-A,"6,6","5,2","5,2","3,9","5,3",6,"5,37","0,91","14,3%","26,4%",,, Dubious ORF
3699,YKL166C,TPK3,"118,4","121,7","124,2","126,4","116,3","118,2","120,87","3,91","2,4%","12,9%",852,, Verified ORF
3700,YKL167C,MRP49,"75,4","76,1","74,5","84,5","75,4","75,7","76,93","3,74","1,1%","5,7%",531,, Verified ORF
3701,YKL168C,KKQ8,"29,1","31,4","31,1","34,1","34,3","33,7","32,28","2,08","4,1%","8,7%",186,, Verified ORF
3702,YKL169C,YKL169C,"2,7","2,8","2,5","2,1","3,2","2,4","2,62","0,38","5,7%","20,8%",,, Dubious ORF
3703,YKL170W,MRPL38,"60,6","58,3","60,8","64,4","66,4","62,4","62,15","2,91","2,3%","3,8%",742,, Verified ORF
3704,YKL171W,YKL171W,"22,7","21,6","20,8","21,6","20,3","21,1","21,35","0,83","4,4%","4,6%",427,, Uncharacterized ORF
3705,YKL172W,EBP2,"432,1","431,8","435,9","506,7","497,9","510,4","469,13","39,53","0,5%","20,1%",1.773,, Verified ORF
3706,YKL173W,SNU114,"40,6","40,1","41,6",38,"39,4","38,3","39,67","1,38","1,9%","5,9%",550,, Verified ORF
3707,YKL174C,TPO5,"42,6","43,6","42,5","44,3","39,9","43,5","42,73","1,54","1,4%","7,0%",642,, Verified ORF
3708,YKL175W,ZRT3,"88,9","92,5",92,93,"95,3",94,"92,62","2,17","2,1%","5,8%",3.239,, Verified ORF
3709,YKL176C,LST4,"61,8","58,1","57,8","58,8","61,3","59,9","59,62","1,67","3,8%","3,9%",1.112,, Verified ORF
3710,YKL177W,YKL177W,"1,4","1,3","0,8","1,7","1,6","1,2","1,33","0,32","27,6%","11,5%",,, Dubious ORF
3711,YKL178C,STE3,"221,8","222,7","217,5","226,5",235,"233,8","226,22","6,97","1,3%","1,6%",2.047,, Verified ORF
3712,YKL179C,COY1,"55,1","52,9","49,8","54,8","52,8","52,8","53,03","1,9","5,1%","0,5%",1.338,, Verified ORF
3713,YKL181W,PRS1,265,"273,3","271,6","272,1","271,5","268,2","270,28","3,09","1,6%","2,1%",3.595,, Verified ORF
3714,YKL182W,FAS1,"554,5",550,"539,6",555,"564,9","555,8","553,3","8,29","1,4%","1,1%",7.385,, Verified ORF
3715,YKL183C-A,YKL183C-A,"1,5","1,8",2,"2,3","2,9","2,3","2,13","0,48","14,2%","26,1%",92,, Uncharacterized ORF
3716,YKL183W,LOT5,"35,2","34,9","36,2","41,1","36,6","38,1","37,02","2,3","1,9%","8,1%",405,, Verified ORF
3717,YKL184W,SPE1,"97,3","96,9","98,1","98,2","98,9",102,"98,57","1,82","0,6%","2,4%",866,, Verified ORF
3718,YKL185W,ASH1,"76,5","81,4","76,2","77,2","78,1","79,5","78,15","1,99","3,7%","4,5%",2.919,, Verified ORF
3719,YKL186C,MTR2,"78,2","74,3","79,4","81,3","78,5","83,5","79,2","3,11","3,4%","2,5%",712,, Verified ORF
3720,YKL187C,YKL187C,"8,1","8,3","8,3","10,1","7,9","8,1","8,47","0,81","1,4%","11,9%",48,, Uncharacterized ORF
3721,YKL188C,PXA2,"18,4","19,8","18,8","17,6","19,1","20,8","19,08","1,11","3,8%","11,8%",233,, Verified ORF
3722,YKL189W,HYM1,"42,9","45,8","47,2","41,5","47,9","48,3","45,6","2,8","4,8%","2,9%",727,, Verified ORF
3723,YKL191W,DPH2,"62,5","67,7","64,7",63,"64,3",68,"65,03","2,33","4,0%","5,4%",1.333,, Verified ORF
3724,YKL192C,ACP1,"698,5","707,5","692,6","653,4","695,9","653,5","683,57","23,85","1,1%","4,2%",1.103,, Verified ORF
3725,YKL193C,SDS22,"77,8","80,1","78,6","86,2","83,7","82,4","81,47","3,22","1,5%","5,2%",634,, Verified ORF
3726,YKL194C,MST1,"22,7","24,1","21,6","23,4",25,"23,3","23,35","1,16","5,5%","5,4%",205,, Verified ORF
3727,YKL195W,MIA40,"152,9","152,8","149,7","149,6","145,7","148,7","149,9","2,71","1,2%","1,6%",1.295,, Verified ORF
3728,YKL196C,YKT6,"229,3","213,6","220,3","224,6","214,4","229,1","221,88","6,95","3,6%","2,8%",2.272,, Verified ORF
3729,YKL197C,PEX1,16,16,"18,9","18,5","17,8","21,6","18,13","2,1","9,9%","12,1%",179,, Verified ORF
3730,YKL198C,PTK1,"31,8","34,1","33,2","31,3","35,7",33,"33,18","1,59","3,5%","2,4%",709,, Verified ORF
3731,YKL201C,MNN4,"102,9","106,3","106,8","115,2","121,2","117,9","111,72","7,37","2,0%","23,3%",991,, Verified ORF
3732,YKL202W,YKL202W,"0,5","0,8","0,8","0,7","0,4","0,9","0,68","0,19","24,7%","28,6%",,, Dubious ORF
3733,YKL203C,TOR2,"54,9","59,1","54,3","59,1","55,7","56,3","56,57","2,08","4,7%","4,6%",606,, Verified ORF
3734,YKL204W,EAP1,"96,1","95,3","99,5","105,9","107,3","106,3","101,73","5,43","2,3%","9,0%",575,, Verified ORF
3735,YKL205W,LOS1,"75,3","73,7","73,8",77,"79,3","73,5","75,43","2,32","1,2%","1,6%",839,, Verified ORF
3736,YKL206C,ADD66,"53,4","53,7","55,1","59,9","57,5","61,4","56,83","3,33","1,7%","6,1%",813,, Verified ORF
3737,YKL207W,YKL207W,141,"144,4",140,"151,7","153,3",150,"146,73","5,69","1,6%","4,8%",1.065,, Uncharacterized ORF
3738,YKL208W,CBT1,"15,8","14,7","16,1","14,5","17,1","16,7","15,82","1,05","4,7%","6,3%",215,, Verified ORF
3739,YKL209C,STE6,"13,8","13,6","13,1","12,5","13,7","14,1","13,47","0,58","2,7%","6,1%",198,, Verified ORF
3740,YKL210W,UBA1,"166,1","168,2","164,9","166,2",173,"173,9","168,72","3,83","1,0%","5,1%",2.619,, Verified ORF
3741,YKL211C,TRP3,"95,9","95,4","92,9","96,2","92,8","98,2","95,23","2,08","1,7%","0,6%",1.378,, Verified ORF
3742,YKL212W,SAC1,"148,9","139,1","142,8","148,2","150,4","149,6","146,5","4,51","3,4%","6,8%",1.156,, Verified ORF
3743,YKL213C,DOA1,"73,4",81,"73,6","76,9","73,8","72,2","75,15","3,26","5,7%","5,4%",1.870,, Verified ORF
3744,YKL214C,YRA2,"44,1","40,5","42,4","41,9","42,3","41,8","42,17","1,17","4,3%","7,7%",513,, Verified ORF
3745,YKL215C,YKL215C,"36,2","33,2","34,1","34,7","33,9","33,3","34,23","1,11","4,5%","3,0%",810,, Uncharacterized ORF
3746,YKL216W,URA1,"192,3","202,9","191,1","189,2","180,9","179,9","189,38","8,44","3,3%","1,0%",2.046,, Verified ORF
3747,YKL217W,JEN1,"27,4","26,9","27,2","23,3","22,5",25,"25,38","2,12","0,9%","8,8%",302,, Verified ORF
3748,YKL218C,SRY1,"60,4","62,3","61,9",61,"61,4","63,3","61,72","1,02","1,6%","1,2%",347,, Verified ORF
3749,YKL219W,COS9,"29,1","33,7",32,"33,1","31,9","34,2","32,33","1,83","7,4%","9,7%",211,, Verified ORF
3750,YKL220C,FRE2,"7,5","9,6","9,4","9,1","11,8","9,4","9,47","1,38","13,1%","16,6%",182,, Verified ORF
3751,YKL221W,MCH2,"2,8","3,2","3,4","3,4","3,2","3,9","3,32","0,36","9,8%","10,0%",18,, Verified ORF
3752,YKL222C,YKL222C,"24,2",24,"21,7","25,6",24,"24,2","23,95","1,26","6,0%","3,3%",284,, Verified ORF
3753,YKL223W,YKL223W,0,0,0,"0,1",0,0,"0,02","0,04",N/A,"173,2%",,, Dubious ORF
3754,YKL224C,YKL224C,0,0,0,0,0,0,0,0,N/A,N/A,,, Uncharacterized ORF
3755,YKR001C,VPS1,"132,9","131,2","132,9","134,2","132,7","132,4","132,72","0,97","0,7%","0,9%",1.475,, Verified ORF
3756,YKR002W,PAP1,"49,6","50,4","50,5","56,6","51,4","55,6","52,35","2,98","1,0%","6,7%",1.313,, Verified ORF
3757,YKR003W,OSH6,"71,1","70,5","65,5","72,6","72,6","66,2","69,75","3,14","4,5%","2,9%",1.144,, Verified ORF
3758,YKR005C,YKR005C,15,"17,1","19,1","19,2","18,6","17,3","17,72","1,6","12,0%","12,3%",149,, Uncharacterized ORF
3759,YKR006C,MRPL13,"76,8","75,4","76,8","79,3","79,1","80,5","77,98","1,94","1,1%","4,0%",677,, Verified ORF
3760,YKR007W,MEH1,"44,1","47,4","43,8","44,2","36,7","41,5","42,95","3,59","4,4%","3,3%",291,, Verified ORF
3761,YKR008W,RSC4,"62,5","63,4",63,"64,7","65,6","65,6","64,13","1,35","0,7%","2,8%",588,, Verified ORF
3762,YKR009C,FOX2,"34,2","34,9","29,6","30,8","31,4","30,5","31,9","2,14","8,8%","8,3%",299,, Verified ORF
3763,YKR010C,TOF2,"26,2","22,6","24,8","27,4","24,8","24,7","25,08","1,62","7,4%","5,2%",516,, Verified ORF
3764,YKR011C,YKR011C,"39,9","38,1","38,4","41,8","40,2","38,7","39,52","1,4","2,5%","3,1%",953,, Uncharacterized ORF
3765,YKR012C,YKR012C,"2,6","3,7","3,2","3,7","3,7","3,4","3,38","0,44","17,4%","18,5%",,, Dubious ORF
3766,YKR013W,PRY2,"259,7","261,4","262,8","258,2","260,4","255,8","259,72","2,47","0,6%","3,1%",2.347,, Verified ORF
3767,YKR014C,YPT52,"211,4",213,"202,8","227,4","219,3",230,"217,32","10,3","2,6%","6,3%",2.231,, Verified ORF
3768,YKR015C,YKR015C,"1,4","0,9","1,3","0,8","0,8","1,8","1,17","0,4","22,0%","28,6%",4,, Uncharacterized ORF
3769,YKR016W,YKR016W,"48,8","49,1","45,5","49,8","48,3","52,9","49,07","2,39","4,2%","2,0%",862,, Uncharacterized ORF
3770,YKR017C,YKR017C,"36,5","33,2","34,6","36,3","35,6","36,5","35,45","1,32","4,8%","1,0%",207,, Uncharacterized ORF
3771,YKR018C,YKR018C,"100,4","90,7","99,1","94,5","96,4","96,6","96,28","3,45","5,4%","3,5%",1.466,, Uncharacterized ORF
3772,YKR019C,IRS4,"16,3","16,3","18,4","16,1",18,"14,2","16,55","1,51","7,1%","2,2%",337,, Verified ORF
3773,YKR020W,VPS51,"28,7","33,1",36,"35,7",32,"35,4","33,48","2,83","11,3%","10,9%",91,, Verified ORF
3774,YKR021W,ALY1,"33,5","31,3","31,7","32,9","36,9","32,4","33,12","2,02","3,6%","1,9%",827,, Uncharacterized ORF
3775,YKR022C,NTR2,"31,7","34,5","31,8","32,2","29,8","33,4","32,23","1,61","4,9%","1,6%",304,, Verified ORF
3776,YKR023W,YKR023W,"32,5","32,1","35,5","34,7","32,9","33,4","33,52","1,32","5,6%","4,8%",487,, Uncharacterized ORF
3777,YKR024C,DBP7,"69,2","71,5","73,4",75,"70,9","72,9","72,15","2,05","2,9%","4,1%",1.267,, Verified ORF
3778,YKR025W,RPC37,83,82,"87,7","90,3",82,"88,5","85,58","3,68","3,6%","4,7%",685,, Verified ORF
3779,YKR026C,GCN3,"98,5","98,8","102,3","100,1","105,2","102,8","101,28","2,61","2,1%","2,4%",1.313,, Verified ORF
3780,YKR027W,BCH2,"44,8","43,3","43,9","43,7","42,2","44,6","43,75","0,94","1,7%","4,4%",590,, Verified ORF
3781,YKR028W,SAP190,"83,7",81,"80,6","84,1","83,6","81,7","82,45","1,53","2,1%","3,2%",1.354,, Verified ORF
3782,YKR029C,SET3,27,"25,3","28,6","27,5","27,4","29,4","27,53","1,41","6,1%","3,2%",516,, Verified ORF
3783,YKR030W,GMH1,"67,6","63,1","62,2","63,6","71,2","65,3","65,5","3,38","4,5%","5,2%",1.091,, Verified ORF
3784,YKR031C,SPO14,46,"48,5","48,3","47,9","46,3","42,3","46,55","2,33","2,9%","2,4%",827,, Verified ORF
3785,YKR032W,YKR032W,"0,1",0,"0,1",0,0,"0,1","0,05","0,05","86,6%","173,2%",,, Dubious ORF
3786,YKR033C,YKR033C,"0,8","0,5","0,8","0,9","0,7","1,4","0,85","0,3","24,7%","26,5%",,, Dubious ORF
3787,YKR034W,DAL80,"1,2","1,1","1,5","1,4",1,"1,9","1,35","0,33","16,4%","16,7%",12,, Verified ORF
3788,YKR035C,OPI8,"2,1","2,3","2,8",3,"4,4","3,3","2,98","0,82","15,0%","19,2%",,, Dubious ORF
3789,YKR035W-A,DID2,"101,3","99,5","96,6",103,"91,5","99,7","98,6","4,08","2,4%","1,9%",386,, Verified ORF
3790,YKR036C,CAF4,"38,8",36,37,"36,1","39,2","36,5","37,27","1,39","3,8%","3,9%",430,, Verified ORF
3791,YKR037C,SPC34,"23,2","24,2",25,"25,2","22,7",24,"24,05","0,98","3,7%","10,0%",521,, Verified ORF
3792,YKR038C,KAE1,"91,1","85,7","85,4","79,2",77,"80,7","83,18","5,18","3,7%","7,2%",749,, Verified ORF
3793,YKR039W,GAP1,"21,6",23,"23,7","20,3",23,23,"22,43","1,25","4,7%","9,2%",209,, Verified ORF
3794,YKR040C,YKR040C,"6,4","5,7","4,9","6,5","4,6","4,8","5,48","0,84","13,2%","6,1%",,, Dubious ORF
3795,YKR041W,YKR041W,"9,6","9,2","8,2","9,1","9,5",9,"9,1","0,5","8,0%","6,2%",35,, Uncharacterized ORF
3796,YKR042W,UTH1,"1756,2",1767,"1778,6","1701,7","1742,8","1704,8","1741,85","32,17","0,6%","3,7%",15.962,, Verified ORF
3797,YKR043C,YKR043C,"199,5","200,5","200,7","213,5","197,3","210,3","203,63","6,59","0,3%","4,3%",2.305,, Uncharacterized ORF
3798,YKR044W,UIP5,"30,7","31,7","33,6","31,2","28,6","30,6","31,07","1,63","4,6%","2,3%",294,, Verified ORF
3799,YKR045C,YKR045C,"13,4","13,8","16,2","12,9","14,4","13,8","14,08","1,15","10,5%","1,9%",135,, Uncharacterized ORF
3800,YKR046C,PET10,"45,3","49,5","47,7","50,2","50,1","45,8","48,1","2,18","4,4%","5,1%",441,, Verified ORF
3801,YKR047W,YKR047W,"20,3","18,8","20,1","16,2","18,2","18,8","18,73","1,49","4,1%","12,8%",,, Dubious ORF
3802,YKR048C,NAP1,"136,2","138,7","136,5","133,6","129,2","131,9","134,35","3,47","1,0%","1,2%",934,, Verified ORF
3803,YKR049C,FMP46,"22,2","21,8","22,8","22,1","23,1","25,4","22,9","1,31","2,3%","5,5%",133,, Verified ORF
3804,YKR050W,TRK2,"30,4","29,6","26,6","29,3","27,1","27,4","28,4","1,56","6,9%","3,8%",479,, Verified ORF
3805,YKR051W,YKR051W,"44,8","42,4","42,1","41,2",44,"40,7","42,53","1,59","3,4%","7,3%",702,, Uncharacterized ORF
3806,YKR052C,MRS4,"33,5","36,1","36,6",33,"39,2","35,2","35,6","2,26","4,7%","1,8%",342,, Verified ORF
3807,YKR053C,YSR3,15,"14,5","17,4","14,1","16,6","15,7","15,55","1,27","9,9%","3,4%",216,, Verified ORF
3808,YKR054C,DYN1,"50,2","47,4",47,"46,7","46,7","47,8","47,63","1,33","3,6%","3,7%",513,, Verified ORF
3809,YKR055W,RHO4,"18,7","18,9","18,5","19,4","18,6","20,3","19,07","0,68","1,1%","7,7%",279,, Verified ORF
3810,YKR056W,TRM2,"75,1","69,5","71,5","73,5","75,8","78,1","73,92","3,1","3,9%","4,4%",1.135,, Verified ORF
3811,YKR058W,GLG1,"56,8","54,8","54,7","58,7",58,"58,9","56,98","1,88","2,1%","2,3%",713,, Verified ORF
3812,YKR059W,TIF1,"623,8","619,2","620,5","638,7",629,"642,6","628,97","9,74","0,4%","2,3%",,, Verified ORF
3813,YKR060W,UTP30,"81,7","89,3","82,9",84,"85,2","88,3","85,23","3,01","4,8%","9,5%",524,, Verified ORF
3814,YKR061W,KTR2,"61,3","59,4","58,7","58,7","59,1","57,6","59,13","1,22","2,2%","3,0%",988,, Verified ORF
3815,YKR062W,TFA2,46,"41,4","49,3","47,8","44,6","47,7","46,13","2,83","8,7%","5,5%",244,, Verified ORF
3816,YKR063C,LAS1,"26,4","27,2","26,4","29,1","31,3","28,5","28,15","1,9","1,7%","6,7%",332,, Verified ORF
3817,YKR064W,YKR064W,"36,2","35,5","36,4","38,5","37,4","36,3","36,72","1,06","1,3%","3,4%",813,, Uncharacterized ORF
3818,YKR065C,PAM17,"89,4","90,9","88,3","88,9","95,3","96,4","91,53","3,47","1,5%","3,5%",710,, Verified ORF
3819,YKR066C,CCP1,"100,4","107,8","104,8","104,1","110,8","106,2","105,68","3,53","3,6%","2,4%",775,, Verified ORF
3820,YKR067W,GPT2,"65,2","64,4","65,7","63,6","65,6","63,5","64,67","0,98","1,0%","11,1%",622,, Verified ORF
3821,YKR068C,BET3,"96,8",89,"99,1",104,"92,1","96,6","96,27","5,26","5,6%","3,7%",707,, Verified ORF
3822,YKR069W,MET1,"44,7",41,"40,3","41,8","40,6","43,1","41,92","1,69","5,6%","3,4%",584,, Verified ORF
3823,YKR070W,YKR070W,"45,4","46,8","44,5","51,5","45,4","50,7","47,38","2,98","2,5%","6,5%",417,, Uncharacterized ORF
3824,YKR071C,DRE2,"115,8",116,"115,6","116,7","116,1","123,4","117,27","3,03","0,2%","6,8%",480,, Verified ORF
3825,YKR072C,SIS2,"118,2","110,3","117,7","114,1","114,3","122,5","116,18","4,21","3,8%","5,9%",1.391,, Verified ORF
3826,YKR073C,YKR073C,"0,2","0,1","0,1","0,3","0,3","0,5","0,25","0,15","43,3%","33,3%",,, Dubious ORF
3827,YKR074W,YKR074W,"137,6","138,7","133,6","139,1","138,9","142,3","138,37","2,82","2,0%","3,6%",790,, Uncharacterized ORF
3828,YKR075C,YKR075C,"306,4","313,8","321,4","306,4","314,7","314,1","312,8","5,7","2,4%","2,6%",2.065,, Uncharacterized ORF
3829,YKR075W-A,YKR075W-A,"5,5","5,8","4,9",5,"5,5","5,9","5,43","0,41","8,5%","18,7%",,, Dubious ORF
3830,YKR076W,ECM4,"34,3","33,6","37,3",35,"34,7","34,6","34,92","1,26","5,6%","1,5%",509,, Verified ORF
3831,YKR077W,YKR077W,"33,6",32,"32,2","29,1","32,7","30,8","31,73","1,58","2,7%","8,2%",627,, Uncharacterized ORF
3832,YKR078W,YKR078W,22,"23,1","23,6","21,3","21,5","21,1","22,1","1,03","3,6%","4,8%",333,, Verified ORF
3833,YKR079C,TRZ1,"42,7","41,4","40,3","38,9","38,5","43,5","40,88","2,02","2,9%","4,8%",809,, Verified ORF
3834,YKR080W,MTD1,"202,3","202,1","203,1","206,8","207,6","217,5","206,57","5,85","0,3%","5,3%",2.092,, Verified ORF
3835,YKR081C,RPF2,"127,2","127,3","133,7","134,3","121,6","130,6","129,12","4,77","2,9%","2,8%",2.079,, Verified ORF
3836,YKR082W,NUP133,63,"63,3","68,7",68,"62,2","62,8","64,67","2,88","4,9%","4,4%",1.286,, Verified ORF
3837,YKR083C,DAD2,"58,7","55,7","56,9","53,6","52,5","54,7","55,35","2,25","2,6%","4,6%",158,, Verified ORF
3838,YKR084C,HBS1,"60,6",58,"61,8","62,7","55,6","56,9","59,27","2,85","3,2%","1,9%",595,, Verified ORF
3839,YKR085C,MRPL20,"61,5",63,"61,9","64,4",63,"64,5","63,05","1,24","1,3%","2,7%",467,, Verified ORF
3840,YKR086W,PRP16,"40,5","45,5","46,1","45,6","45,4","47,5","45,1","2,38","7,0%","12,0%",363,, Verified ORF
3841,YKR087C,OMA1,"69,2","66,4","66,4","69,3",64,"64,7","66,67","2,21","2,4%","0,6%",445,, Verified ORF
3842,YKR088C,TVP38,78,"73,4","75,7","77,9","76,6","81,3","77,15","2,64","3,0%","2,2%",1.205,, Verified ORF
3843,YKR089C,TGL4,"63,1","61,7","63,1","62,7","64,9","59,7","62,53","1,73","1,3%","1,6%",932,, Verified ORF
3844,YKR090W,PXL1,34,"32,8","30,9","33,3","34,9","34,6","33,42","1,46","4,8%","1,4%",365,, Verified ORF
3845,YKR091W,SRL3,"57,1","56,8","59,7","55,4","53,1","55,1","56,2","2,23","2,8%","2,5%",553,, Verified ORF
3846,YKR092C,SRP40,"211,9","205,6","213,7","230,1","227,5","228,8","219,6","10,46","2,0%","12,1%",851,, Verified ORF
3847,YKR093W,PTR2,"80,1","85,1","79,3","84,2","89,4","88,1","84,37","4,09","3,9%","4,0%",963,, Verified ORF
3848,YKR095W,MLP1,"77,8","77,5","76,5","80,3","79,3","73,3","77,45","2,44","0,9%","5,8%",748,, Verified ORF
3849,YKR096W,YKR096W,"60,9","60,2","58,1","66,8","66,9","68,1","63,5","4,25","2,4%","13,5%",905,, Verified ORF
3850,YKR097W,PCK1,"19,6","20,6","18,8","20,8","21,8",21,"20,43","1,07","4,6%","9,4%",191,, Verified ORF
3851,YKR098C,UBP11,"45,5","47,4","47,5","49,4","50,3","49,6","48,28","1,8","2,4%","4,6%",544,, Verified ORF
3852,YKR099W,BAS1,"52,7","55,5","59,7","60,9","59,2","58,1","57,68","3,05","6,3%","7,5%",960,, Verified ORF
3853,YKR100C,SKG1,59,"58,7","60,2","67,5","68,2","63,8","62,9","4,25","1,3%","8,2%",1.095,, Verified ORF
3854,YKR101W,SIR1,14,"16,5","14,2","15,2","15,9","17,1","15,48","1,24","9,3%","9,8%",333,, Verified ORF
3855,YKR102W,FLO10,13,14,"15,5","12,6","14,1","13,8","13,83","1,01","8,9%","2,1%",251,, Verified ORF
3856,YKR103W,NFT1,"12,5","14,8","11,2","11,7","12,6","11,4","12,37","1,32","14,2%","6,4%",174,, Verified ORF
3857,YKR104W,YKR104W,"6,2","5,9","5,2","6,4","5,5","5,6","5,8","0,45","8,9%","1,6%",244,, Verified ORF
3858,YKR105C,YKR105C,"0,8","1,4","1,6",1,"1,8",1,"1,27","0,39","32,9%","24,4%",,, Uncharacterized ORF
3859,YKR106W,YKR106W,"8,4",7,"6,4","7,2","7,8","8,1","7,48","0,75","14,1%","8,7%",,, Uncharacterized ORF
3860,YLL001W,DNM1,"62,8","61,1","62,9","59,3","63,6","62,6","62,05","1,58","1,6%","3,0%",601,, Verified ORF
3861,YLL002W,RTT109,"20,6","24,5","23,7","23,2",21,"22,8","22,63","1,53","9,0%","6,2%",309,, Verified ORF
3862,YLL003W,SFI1,"29,6","27,5",29,"23,7","28,5","23,8","27,02","2,62","3,8%","11,5%",552,, Verified ORF
3863,YLL004W,ORC3,"29,2","28,9","30,5","32,5","33,9","32,4","31,23","2,01","2,9%","5,5%",727,, Verified ORF
3864,YLL005C,SPO75,"0,8","1,3","1,1","1,5","1,5","1,9","1,35","0,38","23,6%","35,4%",121,, Verified ORF
3865,YLL006W,MMM1,"20,3",22,"19,2","21,8","24,7",21,"21,5","1,87","6,9%","5,8%",487,, Verified ORF
3866,YLL006W-A,YLL006W-A,0,"0,1","0,1","0,1",0,0,"0,05","0,05","86,6%","86,6%",6,, Uncharacterized ORF
3867,YLL007C,YLL007C,"20,1","19,3","20,3","21,2","18,4","20,9","20,03","1,04","2,7%","3,4%",187,, Uncharacterized ORF
3868,YLL008W,DRS1,"130,2","128,6","135,6",136,"126,3","141,2","132,98","5,57","2,8%","10,2%",1.381,, Verified ORF
3869,YLL009C,COX17,"222,3","213,6","220,8",194,"199,6","195,4","207,62","12,84","2,1%","9,5%",463,, Verified ORF
3870,YLL010C,PSR1,"59,2",55,"54,3","61,7","60,1","61,8","58,68","3,28","4,7%","3,6%",576,, Verified ORF
3871,YLL011W,SOF1,71,"71,4","66,2","66,2","69,2","68,3","68,72","2,26","4,2%","10,5%",1.047,, Verified ORF
3872,YLL012W,YEH1,"57,7","59,6","57,5","57,9","59,3","55,6","57,93","1,44","2,0%","1,6%",677,, Verified ORF
3873,YLL013C,PUF3,"5,6","6,2","7,2","11,8","11,9","11,8","9,08","3,06","12,8%","36,3%",26,, Verified ORF
3874,YLL014W,YLL014W,196,"197,8","192,6","193,5","193,9","197,3","195,18","2,15","1,4%","1,2%",1.270,, Uncharacterized ORF
3875,YLL015W,BPT1,"68,3",65,"70,2","71,3","65,5","66,5","67,8","2,57","3,9%","3,2%",1.621,, Verified ORF
