#name: S.cerevisiae, GPM, Oct,2012
#score: 19.6
#weight: 10%
#description: abundance based on Spectral counting, from <a href="http://www.thegpm.org/" target="_blank">GPM, Oct,2012</a><br/><b>Interaction consistency score</b>: 19.6&nbsp<b>Coverage</b>: 89%
#organ: WHOLE_ORGANISM
#integrated: false
#
#internal_id	string_external_id	abundance_ppm	raw_spectral_count
#
216782	4932.YPL017C	81.27944617100421	20
215450	4932.YMR084W	0.9699868007897139	2
212375	4932.YER038W-A	130.66782407848464	4
212940	4932.YGL222C	291.55626167072364	18
211604	4932.YDL206W	6.900712141594814	1
211747	4932.YDR092W	113.40856255003338	5
215180	4932.YLR442C	118.21147014353372	58
213061	4932.YGR071C	46.90913393506008	15
214666	4932.YLL043W	30.803206854191128	5
213290	4932.YGR285C	773.6081000282896	102
217253	4932.YPR174C	34.68405705787937	2
212148	4932.YDR461C-A	46.77930147971145	1
212399	4932.YER056C-A	784.8226414857899	30
211000	4932.YBR120C	223.89301175168157	8
211249	4932.YCL048W	84.59358315653975	20
216783	4932.YPL018W	59.848437272122446	10
213060	4932.YGR070W	62.183081826999725	26
215952	4932.YNL219C	55.03468676637529	13
