"ORF"	"Gene"	"Expression"
"YBR105C"	"VID24"	"1.38"
"YBR108W"	"YBR108W"	"0.94"
"YBR109C"	"CMD1"	"19.24"
"YBR111C"	"YSA1"	"6.9"
"YBR112C"	"CYC8"	"2.14"
"YBR114W"	"RAD16"	"0.48"
"YBR116C"	"YBR116C"	"0.31"
"YBR117C"	"TKL2"	"0.65"
"YBR119W"	"MUD1"	"0.56"
"YBR120C"	"CBP6"	"1.01"
"YBR121C"	"GRS1"	"8.74"
"YBR122C"	"MRPL36"	"3.29"
"YBR123C"	"TFC1"	"1.17"
"YBR124W"	"YBR124W"	"0.22"
"YBR126C"	"TPS1"	"3.94"
"YBR127C"	"VMA2"	"38.93"
"YBR129C"	"OPY1"	"2.13"
"YBR130C"	"SHE3"	"0.49"
"YBR131W"	"CCZ1"	"0.38"
"YBR132C"	"AGP2"	"0.37"
"YBR133C"	"HSL7"	"0.82"
"YBR134W"	"YBR134W"	"0.42"
"YBR136W"	"ESR1"	"0.63"
"YBR137W"	"YBR137W"	"10.17"
"YBR139W"	"YBR139W"	"1.25"
"YBR140C"	"IRA1"	"0.38"
"YBR141C"	"YBR141C"	"1.28"
"YBR142W"	"MAK5"	"1.14"
"YBR143C"	"SUP45"	"7.33"
"YBR145W"	"ADH5"	"0.79"
"YBR146W"	"MRPS9"	"1.98"
"YBR147W"	"YBR147W"	"0.34"
"YBR148W"	"YSW1"	"0.29"
"YBR150C"	"YBR150C"	"0.4"
"YBR151W"	"YBR151W"	"3.72"
"YBR153W"	"RIB7"	"0.81"
"YBR154C"	"RPB5"	"19.3"
"YBR155W"	"CNS1"	"4.68"
"YBR158W"	"YBR158W"	"5.48"
"YBR159W"	"YBR159W"	"8.48"
"YBR162C"	"YBR162C"	"26.56"
"YBR163W"	"YBR163W"	"0.71"
"YBR164C"	"ARL1"	"4.23"
"YBR165W"	"UBS1"	"0.78"
"YBR166C"	"TYR1"	"1.51"
"YBR167C"	"POP7"	"1.88"
"YBR168W"	"YBR168W"	"1.03"
"YBR170C"	"NPL4"	"0.55"
"YBR171W"	"SEC66"	"3.87"
"YBR172C"	"SMY2"	"3.29"
"YBR173C"	"UMP1"	"7.97"
"YBR178W"	"YBR178W"	"0.11"
"YBR179C"	"FZO1"	"0.3"
"YBR180W"	"YBR180W"	"0.15"
"YBR181C"	"RPS6B"	"98.84"
"YBR182C"	"SMP1"	"1.1"
"YBR183W"	"YBR183W"	"0.65"
"YBR185C"	"MBA1"	"0.87"
"YBR186W"	"PCH2"	"0.21"
"YBR188C"	"NTC20"	"1.6"
"YBR189W"	"RPS9B"	"88.04"
"YBR191W"	"RPL21A"	"101.53"
"YBR192W"	"RIM2"	"0.91"
"YBR193C"	"MED8"	"1.26"
"YBR194W"	"YBR194W"	"1.57"
"YBR195C"	"MSI1"	"0.89"
"YBR196C"	"PGI1"	"104.82"
"YBR197C"	"YBR197C"	"1.82"
"YBR200W"	"BEM1"	"1.05"
"YBR202W"	"CDC47"	"0.92"
"YBR204C"	"YBR204C"	"1.25"
"YBR205W"	"KTR3"	"3.46"
"YBR209W"	"YBR209W"	"0.24"
"YBR210W"	"YBR210W"	"3.83"
"YBR212W"	"NGR1"	"3.43"
"YBR213W"	"MET8"	"0.84"
"YBR215W"	"HPC2"	"2.04"
"YBR216C"	"YBR216C"	"0.65"
"YBR218C"	"PYC2"	"5.37"
"YBR219C"	"YBR219C"	"1.81"
"YBR221C"	"PDB1"	"16.62"
"YBR222C"	"FAT2"	"8.67"
"YBR223C"	"YBR223C"	"0.75"
"YBR224W"	"YBR224W"	"0.12"
"YBR225W"	"YBR225W"	"0.81"
"YBR228W"	"YBR228W"	"0.63"
"YBR229C"	"ROT2"	"2.97"
"YBR231C"	"YBR231C"	"0.63"
"YBR233W"	"PBP2"	"2.02"
"YBR235W"	"YBR235W"	"2.14"
"YBR236C"	"ABD1"	"2.71"
"YBR237W"	"PRP5"	"0.28"
"YBR238C"	"YBR238C"	"1.31"
"YBR239C"	"YBR239C"	"0.35"
"YBR241C"	"YBR241C"	"0.57"
"YBR242W"	"YBR242W"	"1.53"
"YBR243C"	"ALG7"	"3.72"
"YBR245C"	"ISW1"	"0.91"
"YBR246W"	"YBR246W"	"2.74"
"YBR247C"	"ENP1"	"1.91"
"YBR248C"	"HIS7"	"2.99"
"YBR249C"	"ARO4"	"8.92"
"YBR250W"	"YBR250W"	"0.21"
"YBR253W"	"SRB6"	"1.84"
"YBR255W"	"YBR255W"	"1.21"
"YBR256C"	"RIB5"	"3.26"
"YBR257W"	"POP4"	"1.64"
"YBR258C"	"YBR258C"	"1.7"
"YBR259W"	"YBR259W"	"1.2"
"YBR261C"	"YBR261C"	"4.11"
