"ORF"	"Gene"	"Expression"
"YFR047C"	"YFR047C"	"5.23"
"YFR048W"	"YFR048W"	"2.69"
"YFR050C"	"PRE4"	"9.27"
"YFR051C"	"RET2"	"6.82"
"YFR052W"	"RPN12"	"5.61"
"YFR053C"	"HXK1"	"2.49"
"YFR055W"	"YFR055W"	"2.84"
"YFR056C"	"YFR056C"	"0.27"
"YFR057W"	"YFR057W"	"0.27"
"YGL001C"	"YGL001C"	"4.25"
"YGL003C"	"CDH1"	"0.69"
"YGL004C"	"YGL004C"	"1.2"
"YGL005C"	"YGL005C"	"1.22"
"YGL006W"	"PMC1"	"1.03"
"YGL008C"	"PMA1"	"31.52"
"YGL009C"	"LEU1"	"1.49"
"YGL010W"	"YGL010W"	"1.04"
"YGL011C"	"SCL1"	"8.64"
"YGL012W"	"ERG4"	"7.64"
"YGL013C"	"PDR1"	"0.78"
"YGL014W"	"YGL014W"	"3.33"
"YGL015C"	"YGL015C"	"0.18"
"YGL017W"	"ATE1"	"0.79"
"YGL018C"	"JAC1"	"0.46"
"YGL019W"	"CKB1"	"3.5"
"YGL020C"	"YGL020C"	"6.12"
"YGL021W"	"ALK1"	"0.46"
"YGL022W"	"STT3"	"5.74"
"YGL024W"	"YGL024W"	"0.82"
"YGL025C"	"PGD1"	"0.67"
"YGL026C"	"TRP5"	"7.92"
"YGL027C"	"CWH41"	"1.73"
"YGL031C"	"RPL24A"	"113.29"
"YGL033W"	"HOP2"	"0.25"
"YGL037C"	"YGL037C"	"16.58"
"YGL038C"	"OCH1"	"0.83"
"YGL040C"	"HEM2"	"2.97"
"YGL041C"	"YGL041C"	"1.37"
"YGL042C"	"YGL042C"	"3.66"
"YGL043W"	"DST1"	"1.38"
"YGL044C"	"RNA15"	"1.79"
"YGL047W"	"YGL047W"	"2.39"
"YGL048C"	"RPT6"	"4.66"
"YGL049C"	"TIF4632"	"1.75"
"YGL050W"	"YGL050W"	"1.15"
"YGL051W"	"YGL051W"	"0.63"
"YGL052W"	"YGL052W"	"0.42"
"YGL053W"	"YGL053W"	"1.2"
"YGL055W"	"OLE1"	"30.37"
"YGL057C"	"YGL057C"	"0.93"
"YGL058W"	"RAD6"	"3.17"
"YGL059W"	"YGL059W"	"0.49"
"YGL060W"	"YGL060W"	"0.93"
"YGL061C"	"DUO1"	"0.63"
"YGL062W"	"PYC1"	"3.53"
"YGL063W"	"PUS2"	"0.84"
"YGL064C"	"YGL064C"	"0.42"
"YGL065C"	"ALG2"	"3.68"
"YGL067W"	"YGL067W"	"1.96"
"YGL068W"	"YGL068W"	"9.67"
"YGL069C"	"YGL069C"	"10.17"
"YGL070C"	"RPB9"	"2.61"
"YGL071W"	"RCS1"	"0.66"
"YGL072C"	"YGL072C"	"0.36"
"YGL073W"	"HSF1"	"18.46"
"YGL074C"	"YGL074C"	"0.22"
"YGL077C"	"HNM1"	"4.69"
"YGL078C"	"DBP3"	"2.11"
"YGL079W"	"YGL079W"	"3.03"
"YGL080W"	"YGL080W"	"5.05"
"YGL081W"	"YGL081W"	"0.54"
"YGL083W"	"SCY1"	"0.72"
"YGL084C"	"YGL084C"	"3.08"
"YGL085W"	"YGL085W"	"0.41"
"YGL086W"	"MAD1"	1
"YGL087C"	"MMS2"	"6.05"
"YGL088W"	"YGL088W"	"0.21"
"YGL089C"	"MF(ALPHA)2"	"14.03"
"YGL090W"	"LIF1"	"0.57"
"YGL091C"	"NBP35"	"1.86"
"YGL092W"	"NUP145"	"2.15"
"YGL094C"	"PAN2"	"0.36"
"YGL095C"	"VPS45"	"0.96"
"YGL096W"	"YGL096W"	"0.62"
"YGL097W"	"SRM1"	"3.36"
"YGL098W"	"YGL098W"	"0.8"
"YGL099W"	"YGL099W"	"3.86"
"YGL100W"	"SEH1"	"4.7"
"YGL101W"	"YGL101W"	"3.01"
"YGL102C"	"YGL102C"	"118.19"
"YGL103W"	"RPL28"	"205.86"
"YGL105W"	"ARC1"	"23.74"
"YGL107C"	"YGL107C"	"0.8"
"YGL108C"	"YGL108C"	"1.26"
"YGL111W"	"YGL111W"	"1.43"
"YGL112C"	"TAF60"	"1.49"
"YGL113W"	"YGL113W"	"0.46"
"YGL114W"	"YGL114W"	"0.72"
"YGL117W"	"YGL117W"	"0.88"
"YGL119W"	"ABC1"	"0.73"
"YGL120C"	"PRP43"	"8.15"
"YGL121C"	"YGL121C"	"0.37"
"YGL122C"	"NAB2"	"3.79"
"YGL123W"	"RPS2"	"192.91"
"YGL124C"	"YGL124C"	"0.62"
"YGL125W"	"MET13"	"1.15"
"YGL126W"	"SCS3"	"4.33"
"YGL127C"	"SOH1"	"2.01"
"YGL128C"	"YGL128C"	"0.69"
"YGL129C"	"YGL129C"	"2.63"
"YGL130W"	"CEG1"	"1.8"
"YGL131C"	"YGL131C"	"0.78"
"YGL132W"	"YGL132W"	"0.59"
"YGL133W"	"YGL133W"	"0.58"
"YGL134W"	"PCL10"	"0.98"
"YGL136C"	"YGL136C"	"0.76"
"YGL137W"	"SEC27"	"2.42"
"YGL138C"	"YGL138C"	"0.16"
"YGL139W"	"YGL139W"	"1.59"
"YGL140C"	"YGL140C"	"0.63"
"YGL141W"	"YGL141W"	"0.75"
"YGL142C"	"GPI10"	"2.28"
"YGL143C"	"MRF1"	"1.93"
"YGL144C"	"YGL144C"	"0.37"
"YGL145W"	"TIP20"	"1.31"
"YGL146C"	"YGL146C"	"0.18"
"YGL147C"	"RPL9A"	"98.44"
"YGL149W"	"YGL149W"	"0.42"
"YGL150C"	"INO80"	"1.64"
"YGL152C"	"YGL152C"	"1.21"
"YGL153W"	"PEX14"	"0.88"
"YGL154C"	"LYS5"	"0.69"
"YGL155W"	"CDC43"	"0.98"
"YGL156W"	"AMS1"	"0.38"
"YGL157W"	"YGL157W"	"2.08"
"YGL158W"	"RCK1"	"0.16"
"YGL160W"	"YGL160W"	"1.11"
"YGL161C"	"YGL161C"	"2.14"
"YGL162W"	"SUT1"	"0.9"
"YGL163C"	"RAD54"	"0.62"
"YGL164C"	"YGL164C"	"0.62"
"YGL165C"	"YGL165C"	"2.43"
"YGL166W"	"CUP2"	"1.97"
"YGL167C"	"PMR1"	"2.16"
"YGL169W"	"SUA5"	"0.95"
"YGL170C"	"YGL170C"	"0.14"
"YGL171W"	"ROK1"	"1.11"
"YGL172W"	"NUP49"	"3.68"
"YGL173C"	"KEM1"	"2.46"
"YGL175C"	"SAE2"	"0.44"
"YGL176C"	"YGL176C"	"1.06"
"YGL177W"	"YGL177W"	"0.15"
"YGL178W"	"MPT5"	"1.05"
"YGL179C"	"YGL179C"	"1.04"
"YGL180W"	"APG1"	"0.23"
"YGL181W"	"GTS1"	"1.63"
"YGL182C"	"YGL182C"	"0.1"
"YGL183C"	"YGL183C"	"0.13"
"YGL184C"	"YGL184C"	"0.15"
"YGL185C"	"YGL185C"	"0.32"
"YGL187C"	"COX4"	"6.56"
"YGL188C"	"YGL188C"	"13.15"
"YGL189C"	"RPS26A"	"162.49"
"YGL190C"	"CDC55"	"1.43"
"YGL192W"	"IME4"	"1.57"
"YGL193C"	"YGL193C"	"2.73"
"YGL195W"	"GCN1"	"1.63"
"YGL196W"	"YGL196W"	"2.39"
"YGL197W"	"MDS3"	"0.71"
"YGL200C"	"EMP24"	"18.46"
"YGL202W"	"ARO8"	"7.95"
"YGL203C"	"KEX1"	"0.88"
"YGL205W"	"POX1"	"0.27"
"YGL206C"	"CHC1"	"2.52"
"YGL207W"	"SPT16"	"3.88"
"YGL209W"	"MIG2"	"2.51"
"YGL210W"	"YPT32"	"1.52"
"YGL211W"	"YGL211W"	"1.2"
"YGL212W"	"VAM7"	"1.01"
"YGL213C"	"SKI8"	"6.35"
"YGL214W"	"YGL214W"	"2.47"
"YGL215W"	"CLG1"	"3.69"
"YGL216W"	"KIP3"	"0.71"
"YGL219C"	"YGL219C"	"1.42"
"YGL220W"	"YGL220W"	"19.54"
"YGL223C"	"YGL223C"	"1.71"
"YGL224C"	"YGL224C"	"1.91"
"YGL225W"	"GOG5"	"28.23"
"YGL226W"	"YGL226W"	"1.54"
"YGL228W"	"SHE10"	"2.65"
"YGL229C"	"SAP4"	"0.34"
"YGL232W"	"YGL232W"	"1.76"
"YGL233W"	"SEC15"	"0.48"
"YGL235W"	"YGL235W"	"1.5"
"YGL236C"	"YGL236C"	"1.34"
"YGL237C"	"HAP2"	"1.37"
"YGL239C"	"YGL239C"	"0.44"
"YGL240W"	"DOC1"	"0.71"
"YGL242C"	"YGL242C"	"5.02"
"YGL244W"	"RTF1"	"4.16"
"YGL245W"	"YGL245W"	"23.22"
"YGL247W"	"YGL247W"	"1.29"
"YGL248W"	"PDE1"	1
"YGL249W"	"ZIP2"	"0.3"
"YGL250W"	"YGL250W"	"1.67"
"YGL251C"	"HFM1"	"0.53"
"YGL253W"	"HXK2"	"60.67"
"YGL254W"	"FZF1"	"0.76"
"YGL255W"	"ZRT1"	"3.03"
"YGL256W"	"ADH4"	"1.26"
"YGL259W"	"YPS5"	"0.34"
"YGL261C"	"YGL261C"	"0.26"
"YGL262W"	"YGL262W"	"0.62"
"YGL263W"	"COS12"	"0.22"
"YGR002C"	"YGR002C"	"1.82"
"YGR003W"	"YGR003W"	"0.76"
"YGR004W"	"YGR004W"	"0.95"
"YGR005C"	"TFG2"	"0.84"
"YGR006W"	"PRP18"	"0.33"
"YGR007W"	"MUQ1"	"3.24"
"YGR008C"	"STF2"	"7.73"
"YGR009C"	"SEC9"	"1.33"
"YGR010W"	"YGR010W"	"1.34"
"YGR012W"	"YGR012W"	"1.01"
"YGR013W"	"SNU71"	"0.64"
"YGR014W"	"MSB2"	"3.39"
"YGR015C"	"YGR015C"	"2.39"
"YGR016W"	"YGR016W"	"0.44"
"YGR017W"	"YGR017W"	"4.45"
"YGR018C"	"YGR018C"	"3.35"
"YGR020C"	"VMA7"	"22.43"
"YGR021W"	"YGR021W"	"0.71"
"YGR026W"	"YGR026W"	6
"YGR028W"	"MSP1"	"1.17"
"YGR029W"	"ERV1"	"2.07"
"YGR030C"	"POP6"	"0.79"
"YGR031W"	"YGR031W"	"0.7"
"YGR032W"	"GSC2"	"1.02"
"YGR033C"	"YGR033C"	"24.44"
"YGR034W"	"RPL26B"	"140.38"
"YGR037C"	"ACB1"	"39.96"
"YGR038W"	"ORM1"	"3.03"
"YGR039W"	"YGR039W"	"0.42"
"YGR040W"	"KSS1"	"1.24"
"YGR043C"	"YGR043C"	"0.86"
"YGR044C"	"RME1"	"3.54"
"YGR045C"	"YGR045C"	"0.15"
"YGR046W"	"YGR046W"	"1.18"
"YGR048W"	"UFD1"	"2.15"
"YGR050C"	"YGR050C"	"0.68"
"YGR052W"	"YGR052W"	"0.52"
"YGR053C"	"YGR053C"	"0.23"
"YGR054W"	"YGR054W"	"7.43"
"YGR055W"	"MUP1"	"4.06"
"YGR056W"	"RSC1"	"0.41"
"YGR057C"	"LST7"	"1.38"
"YGR058W"	"YGR058W"	"1.54"
"YGR059W"	"SPR3"	"0.17"
"YGR060W"	"ERG25"	"45.68"
"YGR061C"	"ADE6"	"5.51"
"YGR062C"	"COX18"	"1.25"
"YGR063C"	"SPT4"	"20.91"
"YGR064W"	"YGR064W"	"19.29"
"YGR065C"	"YGR065C"	"0.72"
"YGR066C"	"YGR066C"	"0.14"
"YGR067C"	"YGR067C"	"0.19"
"YGR068C"	"YGR068C"	"0.69"
"YGR070W"	"ROM1"	"0.29"
"YGR071C"	"YGR071C"	"0.39"
"YGR072W"	"UPF3"	"0.84"
"YGR074W"	"SMD1"	"4.63"
"YGR077C"	"PEX8"	"2.25"
"YGR078C"	"PAC10"	"4.25"
"YGR080W"	"TWF1"	"1.08"
"YGR082W"	"TOM20"	"6.79"
"YGR083C"	"GCD2"	"2.52"
"YGR084C"	"MRP13"	"3.66"
"YGR085C"	"RPL11B"	"75.79"
"YGR086C"	"YGR086C"	"11.72"
"YGR087C"	"PDC6"	"0.15"
"YGR088W"	"CTT1"	"0.12"
"YGR089W"	"YGR089W"	"1.01"
"YGR090W"	"YGR090W"	"1.09"
"YGR091W"	"PRP31"	"0.89"
"YGR092W"	"DBF2"	"0.45"
"YGR093W"	"YGR093W"	"1.09"
"YGR094W"	"VAS1"	"13.86"
"YGR095C"	"RRP46"	"1.77"
"YGR096W"	"YGR096W"	"0.9"
"YGR097W"	"ASK10"	"0.8"
"YGR098C"	"ESP1"	"0.51"
"YGR099W"	"TEL2"	"0.42"
"YGR100W"	"MDR1"	"0.4"
"YGR101W"	"YGR101W"	"1.75"
"YGR102C"	"YGR102C"	"2.02"
"YGR103W"	"YGR103W"	"13.09"
"YGR104C"	"SRB5"	"1.45"
"YGR105W"	"VMA21"	"29.42"
"YGR107W"	"YGR107W"	"0.17"
"YGR108W"	"CLB1"	"2.13"
"YGR109C"	"CLB6"	"0.2"
"YGR110W"	"YGR110W"	"0.31"
"YGR112W"	"SHY1"	"0.98"
"YGR115C"	"YGR115C"	"0.8"
"YGR119C"	"NUP57"	"1.98"
"YGR125W"	"YGR125W"	"0.47"
"YGR126W"	"YGR126W"	"0.4"
"YGR127W"	"YGR127W"	"2.51"
"YGR128C"	"YGR128C"	"2.54"
"YGR129W"	"SYF2"	"0.87"
"YGR130C"	"YGR130C"	"1.02"
"YGR131W"	"YGR131W"	"0.29"
"YGR133W"	"PEX4"	"1.04"
"YGR134W"	"YGR134W"	"0.74"
"YGR136W"	"YGR136W"	"6.17"
"YGR138C"	"YGR138C"	"11.29"
"YGR140W"	"CBF2"	"0.5"
"YGR141W"	"YGR141W"	"0.93"
"YGR143W"	"SKN1"	"1.69"
"YGR145W"	"YGR145W"	"0.77"
"YGR146C"	"YGR146C"	"4.45"
"YGR147C"	"NAT2"	"2.52"
"YGR148C"	"RPL24B"	"48.39"
"YGR149W"	"YGR149W"	"1.22"
"YGR150C"	"YGR150C"	"0.67"
"YGR152C"	"RSR1"	"1.55"
"YGR153W"	"YGR153W"	"0.35"
"YGR154C"	"YGR154C"	"0.5"
"YGR155W"	"CYS4"	"44.01"
"YGR156W"	"YGR156W"	"0.52"
"YGR157W"	"CHO2"	"4.29"
"YGR158C"	"MTR3"	"2.08"
"YGR159C"	"NSR1"	"16.71"
"YGR161C"	"YGR161C"	"1.42"
"YGR162W"	"TIF4631"	"9.61"
"YGR165W"	"YGR165W"	"2.82"
"YGR166W"	"KRE11"	"0.28"
"YGR167W"	"CLC1"	"4.69"
"YGR168C"	"YGR168C"	"1.71"
"YGR169C"	"YGR169C"	"0.43"
"YGR170W"	"PSD2"	"0.68"
"YGR171C"	"MSM1"	"0.49"
"YGR172C"	"YIP1"	"8.87"
"YGR173W"	"YGR173W"	"5.41"
"YGR174C"	"CBP4"	"1.57"
"YGR175C"	"ERG1"	"6.88"
"YGR176W"	"YGR176W"	"1.74"
"YGR177C"	"ATF2"	"1.52"
"YGR178C"	"PBP1"	"6.16"
"YGR179C"	"YGR179C"	"0.3"
"YGR180C"	"RNR4"	"22.02"
"YGR184C"	"UBR1"	"0.77"
"YGR185C"	"TYS1"	"7.26"
"YGR186W"	"TFG1"	"2.21"
"YGR187C"	"HGH1"	"2.95"
"YGR188C"	"BUB1"	"0.16"
"YGR191W"	"HIP1"	"3.88"
"YGR193C"	"PDX1"	"3.79"
"YGR195W"	"SKI6"	"4.79"
"YGR196C"	"YGR196C"	"0.71"
"YGR197C"	"SNG1"	"1.02"
"YGR198W"	"YGR198W"	"1.35"
"YGR200C"	"YGR200C"	"1.75"
"YGR201C"	"YGR201C"	"0.18"
"YGR202C"	"PCT1"	"1.35"
"YGR203W"	"YGR203W"	"1.9"
"YGR204W"	"ADE3"	"8.54"
"YGR205W"	"YGR205W"	"0.78"
"YGR206W"	"YGR206W"	"5.33"
"YGR207C"	"YGR207C"	"1.92"
"YGR208W"	"SER2"	"2.4"
"YGR210C"	"YGR210C"	"2.68"
"YGR212W"	"YGR212W"	"1.12"
"YGR213C"	"RTA1"	"2.2"
"YGR214W"	"RPS0A"	"100.45"
"YGR215W"	"YGR215W"	"9.8"
"YGR216C"	"GPI1"	"0.65"
"YGR217W"	"CCH1"	"0.23"
"YGR218W"	"CRM1"	"3.17"
"YGR220C"	"MRPL9"	"2.89"
"YGR222W"	"PET54"	"1.31"
"YGR223C"	"YGR223C"	"0.6"
"YGR224W"	"YGR224W"	"0.29"
"YGR226C"	"YGR226C"	"0.15"
"YGR227W"	"DIE2"	"1.42"
"YGR229C"	"SMI1"	"4.58"
"YGR231C"	"PHB2"	"9.53"
"YGR232W"	"YGR232W"	"5.28"
"YGR233C"	"PHO81"	"2.72"
"YGR237C"	"YGR237C"	"0.91"
"YGR238C"	"KEL2"	"0.35"
"YGR240C"	"PFK1"	"23.72"
"YGR241C"	"YAP1802"	"1.11"
"YGR244C"	"LSC2"	"3.23"
"YGR245C"	"YGR245C"	"2.03"
"YGR246C"	"BRF1"	"0.93"
"YGR248W"	"SOL4"	"0.79"
"YGR250C"	"YGR250C"	"0.56"
"YGR251W"	"YGR251W"	"1.27"
"YGR252W"	"GCN5"	"1.69"
"YGR253C"	"PUP2"	"13.41"
"YGR254W"	"ENO1"	"27.6"
"YGR255C"	"COQ6"	"1.31"
"YGR256W"	"GND2"	"0.24"
"YGR257C"	"YGR257C"	"2.61"
"YGR258C"	"RAD2"	"0.55"
"YGR259C"	"YGR259C"	"3.29"
"YGR260W"	"YGR260W"	"3.55"
"YGR261C"	"APL6"	"1.74"
"YGR262C"	"YGR262C"	"2.95"
"YGR263C"	"YGR263C"	"0.63"
"YGR264C"	"MES1"	"10.04"
"YGR266W"	"YGR266W"	"1.08"
"YGR267C"	"FOL2"	"8.13"
"YGR268C"	"YGR268C"	"3.14"
"YGR270W"	"YTA7"	"1.36"
"YGR271W"	"YGR271W"	"0.95"
"YGR273C"	"YGR273C"	"0.16"
"YGR274C"	"TAF145"	"0.67"
"YGR276C"	"RNH70"	"1.84"
"YGR277C"	"YGR277C"	"4.48"
"YGR278W"	"YGR278W"	"0.33"
"YGR280C"	"YGR280C"	"7.74"
"YGR281W"	"YOR1"	"1.42"
"YGR283C"	"YGR283C"	"3.43"
"YGR284C"	"YGR284C"	"3.4"
"YGR286C"	"BIO2"	"1.51"
"YGR287C"	"YGR287C"	"0.21"
"YGR295C"	"COS6"	"10.62"
"YHL002W"	"YHL002W"	"2.36"
"YHL003C"	"LAG1"	"20.84"
"YHL004W"	"MRP4"	"3.53"
"YHL006C"	"YHL006C"	"1.38"
"YHL007C"	"STE20"	"0.9"
"YHL008C"	"YHL008C"	"1.55"
"YHL009C"	"YAP3"	"1.89"
"YHL010C"	"YHL010C"	"0.44"
"YHL011C"	"PRS3"	"5.23"
"YHL012W"	"YHL012W"	"0.29"
"YHL013C"	"YHL013C"	"1.87"
"YHL014C"	"YLF2"	"0.32"
"YHL015W"	"RPS20"	"191.06"
"YHL016C"	"DUR3"	"0.41"
"YHL017W"	"YHL017W"	"1.96"
"YHL018W"	"YHL018W"	"0.73"
"YHL019C"	"APM2"	"1.4"
"YHL020C"	"OPI1"	"2.43"
"YHL021C"	"YHL021C"	"2.78"
"YHL023C"	"YHL023C"	"1.43"
"YHL025W"	"SNF6"	"4.04"
"YHL026C"	"YHL026C"	"0.76"
"YHL028W"	"WSC4"	"0.77"
"YHL029C"	"YHL029C"	"0.75"
"YHL030W"	"ECM29"	"3.1"
"YHL031C"	"GOS1"	"2.51"
"YHL032C"	"GUT1"	"1.46"
"YHL037C"	"YHL037C"	"0.42"
"YHL038C"	"CBP2"	"0.67"
"YHL039W"	"YHL039W"	"1.55"
"YHL042W"	"YHL042W"	"0.25"
"YHL046C"	"YHL046C"	"0.15"
"YHL047C"	"YHL047C"	"1.21"
"YHL048W"	"COS8"	"0.44"
"YHR001W"	"YHR001W"	"1.64"
"YHR009C"	"YHR009C"	"24.55"
"YHR010W"	"RPL27A"	"227.05"
"YHR011W"	"YHR011W"	"0.5"
"YHR012W"	"VPS29"	"3.07"
"YHR013C"	"ARD1"	"3.9"
"YHR016C"	"YSC84"	"1.59"
"YHR017W"	"YSC83"	"0.63"
"YHR018C"	"ARG4"	"2.07"
"YHR019C"	"DED81"	"11.51"
"YHR020W"	"YHR020W"	"11.15"
"YHR021C"	"RPS27B"	"214.81"
"YHR022C"	"YHR022C"	"0.84"
"YHR023W"	"MYO1"	"0.45"
"YHR024C"	"MAS2"	"2.55"
"YHR025W"	"THR1"	"21.89"
"YHR026W"	"PPA1"	"23.7"
"YHR027C"	"RPN1"	"4.5"
"YHR028C"	"DAP2"	"3.27"
"YHR029C"	"YHR029C"	"2.36"
"YHR030C"	"SLT2"	"7.89"
"YHR032W"	"YHR032W"	"3.24"
"YHR033W"	"YHR033W"	"0.9"
"YHR035W"	"YHR035W"	"0.19"
"YHR036W"	"YHR036W"	"0.41"
"YHR037W"	"PUT2"	"3.32"
"YHR039C"	"YHR039C"	"5.27"
"YHR040W"	"YHR040W"	"0.66"
"YHR042W"	"NCP1"	"10.94"
"YHR043C"	"DOG2"	"2.15"
"YHR044C"	"DOG1"	"0.22"
"YHR045W"	"YHR045W"	"1.65"
"YHR046C"	"YHR046C"	"1.59"
"YHR047C"	"AAP1'"	"4.97"
"YHR048W"	"YHR048W"	"0.61"
"YHR049W"	"YHR049W"	"18.18"
"YHR050W"	"SMF2"	"8.63"
"YHR052W"	"YHR052W"	"3.48"
"YHR056C"	"YHR056C"	"1.19"
"YHR057C"	"CYP2"	"2.43"
"YHR058C"	"MED6"	"0.82"
"YHR059W"	"YHR059W"	"1.73"
"YHR060W"	"VMA22"	"2.08"
"YHR061C"	"GIC1"	"0.61"
"YHR062C"	"RPP1"	"2.49"
"YHR063C"	"YHR063C"	"1.89"
"YHR064C"	"PDR13"	"25.43"
"YHR065C"	"RRP3"	"3.03"
"YHR066W"	"SSF1"	"2.06"
"YHR070W"	"YHR070W"	"1.23"
"YHR071W"	"PCL5"	"3.77"
"YHR072W"	"ERG7"	"1.94"
"YHR074W"	"YHR074W"	"4.04"
"YHR075C"	"YHR075C"	"0.26"
"YHR076W"	"YHR076W"	"0.58"
"YHR077C"	"NMD2"	"0.69"
"YHR078W"	"YHR078W"	"1.04"
"YHR079C"	"IRE1"	"0.35"
"YHR080C"	"YHR080C"	"0.48"
"YHR081W"	"YHR081W"	"2.6"
"YHR082C"	"KSP1"	"1.02"
"YHR083W"	"YHR083W"	"2.2"
"YHR084W"	"STE12"	"0.83"
"YHR085W"	"YHR085W"	"1.59"
"YHR086W"	"NAM8"	"0.7"
"YHR087W"	"YHR087W"	"3.47"
"YHR088W"	"YHR088W"	"5.08"
"YHR089C"	"GAR1"	"43.57"
"YHR091C"	"MSR1"	"3.27"
"YHR092C"	"HXT4"	"2.65"
"YHR094C"	"HXT1"	"7.9"
"YHR096C"	"HXT5"	"0.19"
"YHR097C"	"YHR097C"	"2.3"
"YHR099W"	"TRA1"	"0.79"
"YHR100C"	"YHR100C"	"3.13"
"YHR102W"	"NRK1"	"1.2"
"YHR103W"	"SBE22"	"1.79"
"YHR106W"	"TRR2"	"1.84"
"YHR107C"	"CDC12"	"3.16"
"YHR108W"	"YHR108W"	"11.62"
"YHR109W"	"YHR109W"	"0.29"
"YHR111W"	"YHR111W"	"1.31"
"YHR112C"	"YHR112C"	"2.72"
"YHR113W"	"YHR113W"	"2.31"
"YHR114W"	"YHR114W"	"0.78"
"YHR115C"	"YHR115C"	"1.01"
"YHR116W"	"YHR116W"	"1.12"
"YHR117W"	"TOM71"	"5.03"
"YHR119W"	"SET1"	"0.65"
"YHR120W"	"MSH1"	"0.6"
"YHR121W"	"YHR121W"	"4.6"
"YHR122W"	"YHR122W"	"5.2"
"YHR124W"	"NDT80"	"0.64"
"YHR125W"	"YHR125W"	"0.09"
"YHR126C"	"YHR126C"	"0.1"
"YHR127W"	"HSN1"	"2.67"
"YHR129C"	"ARP1"	"0.91"
"YHR130C"	"YHR130C"	"0.53"
"YHR131C"	"YHR131C"	"0.76"
"YHR132C"	"ECM14"	"3.33"
"YHR133C"	"YHR133C"	"4.72"
"YHR134W"	"YHR134W"	"1.18"
"YHR135C"	"YCK1"	"3.01"
"YHR137W"	"ARO9"	"1.86"
"YHR139C"	"SPS100"	"0.22"
"YHR140W"	"YHR140W"	"0.33"
"YHR144C"	"DCD1"	"1.19"
"YHR149C"	"YHR149C"	"0.69"
"YHR150W"	"YHR150W"	"0.3"
"YHR151C"	"YHR151C"	"2.08"
"YHR152W"	"SPO12"	"1.41"
"YHR153C"	"SPO16"	"0.28"
"YHR154W"	"ESC4"	"0.58"
"YHR155W"	"YHR155W"	"0.25"
"YHR156C"	"YHR156C"	"0.43"
"YHR157W"	"REC104"	"0.21"
"YHR158C"	"KEL1"	"0.55"
"YHR159W"	"YHR159W"	"0.37"
"YHR161C"	"YAP1801"	"0.97"
"YHR163W"	"SOL3"	"15.94"
"YHR165C"	"PRP8"	"0.72"
"YHR166C"	"CDC23"	"0.4"
"YHR167W"	"YHR167W"	"0.44"
"YHR169W"	"DBP8"	"1.3"
"YHR170W"	"NMD3"	"5.01"
"YHR172W"	"SPC97"	"0.22"
"YHR173C"	"YHR173C"	"0.91"
"YHR174W"	"ENO2"	"260.62"
"YHR175W"	"CTR2"	"5.05"
"YHR176W"	"YHR176W"	"0.38"
"YHR177W"	"YHR177W"	"0.39"
"YHR180W"	"YHR180W"	"0.37"
"YHR181W"	"YHR181W"	"10.02"
"YHR183W"	"GND1"	"20.68"
"YHR184W"	"SSP1"	"0.1"
"YHR186C"	"YHR186C"	"0.61"
"YHR187W"	"IKI1"	"2.19"
"YHR188C"	"YHR188C"	"3.01"
"YHR189W"	"YHR189W"	"0.87"
"YHR190W"	"ERG9"	"8.16"
"YHR192W"	"YHR192W"	"3.88"
"YHR193C"	"EGD2"	"44.31"
"YHR194W"	"YHR194W"	"0.39"
"YHR196W"	"YHR196W"	"2.79"
"YHR197W"	"YHR197W"	"0.51"
"YHR198C"	"YHR198C"	"1.35"
"YHR199C"	"YHR199C"	"3.78"
"YHR202W"	"YHR202W"	"0.29"
"YHR204W"	"YHR204W"	"0.99"
"YHR205W"	"SCH9"	"1.3"
"YHR206W"	"SKN7"	"3.13"
"YHR207C"	"YHR207C"	"1.64"
"YHR208W"	"BAT1"	"10.81"
"YHR209W"	"YHR209W"	"2.44"
"YIL001W"	"YIL001W"	"0.26"
"YIL002C"	"INP51"	"0.61"
"YIL003W"	"YIL003W"	"0.92"
"YIL004C"	"BET1"	"1.91"
"YIL005W"	"YIL005W"	"1.9"
"YIL006W"	"YIL006W"	"0.46"
"YIL007C"	"YIL007C"	"0.76"
"YIL009W"	"FAA3"	"1.73"
"YIL013C"	"PDR11"	"0.27"
"YIL014W"	"YIL014W"	"0.5"
"YIL015W"	"BAR1"	"0.39"
"YIL016W"	"SNL1"	"6.88"
"YIL017C"	"YIL017C"	"0.43"
"YIL018W"	"RPL2B"	"114.47"
"YIL019W"	"YIL019W"	"1.71"
"YIL020C"	"HIS6"	"2.96"
"YIL021W"	"RPB3"	"3.24"
"YIL022W"	"TIM44"	"1.75"
"YIL023C"	"YIL023C"	"1.29"
"YIL024C"	"YIL024C"	"0.78"
"YIL025C"	"YIL025C"	"0.13"
"YIL026C"	"IRR1"	"0.48"
"YIL027C"	"YIL027C"	"9.93"
"YIL029C"	"YIL029C"	"1.14"
"YIL030C"	"SSM4"	"1.16"
"YIL031W"	"SMT4"	"0.58"
"YIL033C"	"SRA1"	"2.44"
"YIL034C"	"CAP2"	"4.29"
"YIL035C"	"CKA1"	"2.15"
"YIL036W"	"YIL036W"	"1.41"
"YIL037C"	"YIL037C"	"0.23"
"YIL038C"	"NOT3"	"1.66"
"YIL039W"	"YIL039W"	"4.83"
"YIL041W"	"YIL041W"	"5.64"
"YIL042C"	"YIL042C"	"0.61"
