ORF	rpf	mRNA	reliable
YDL239C	0.4341	11.2153	1
YDL240W	9.3783	15.0074	1
YDL241W	32.5268	35.3423	0
YDR001C	21.5501	32.2849	1
YDR002W	1136.4024	1631.171	1
YDR003W	21.7552	99.348	1
YDR003WA	6.598	100.9376	0
YDR004W	8.6345	119.4408	1
YDR005C	20.425	81.409	1
YDR006C	13.4768	29.3606	1
YDR007W	29.2377	197.9064	1
YDR009W	0.6587	3.0713	0
YDR011W	36.6362	39.095	1
YDR013W	41.9586	115.2605	1
YDR014W	6.5692	27.5813	1
YDR014WA	1.2598	2.0394	0
YDR016C	97.7053	244.2354	1
YDR017C	16.5995	68.6832	1
YDR018C	1.037	1.5109	0
YDR019C	94.2814	486.6385	1
YDR020C	25.0013	99.4223	1
YDR021W	17.4967	123.4628	1
YDR022C	12.1696	37.4879	1
YDR023W	860.7678	699.7317	1
YDR026C	11.9023	60.4906	1
YDR027C	12.578	40.7741	1
YDR028C	46.9622	48.0471	1
YDR030C	2.3015	26.1683	1
YDR031W	35.2983	68.0275	1
YDR032C	250.247	311.6101	1
YDR033W	823.6797	479.2025	1
YDR034C	12.241	51.6915	1
YDR034WB	10.4398	5.0702	0
YDR035W	138.1361	184.6463	1
YDR036C	28.4963	38.0585	1
YDR037W	696.8379	449.5442	1
YDR041W	52.3863	236.1525	1
YDR042C	1.3632	48.6614	1
YDR043C	33.6752	76.3218	1
YDR044W	73.802	136.2828	1
YDR045C	117.5574	352.7196	1
YDR046C	44.5963	125.3222	1
YDR047W	38.5538	143.1833	1
YDR049W	23.3194	43.1941	1
YDR050C	7189.2924	5837.8647	1
YDR051C	37.2652	157.5136	1
YDR052C	21.6219	42.7602	1
YDR054C	80.1581	102.8368	1
YDR055W	71.7105	137.9592	1
YDR056C	83.805	164.7407	1
YDR057W	17.572	51.9408	1
YDR058C	2.517	37.08	1
YDR059C	30.6883	25.1506	0
YDR060W	81.069	92.5287	1
YDR061W	22.2458	111.9899	1
YDR062W	73.6557	178.6796	1
YDR063W	93.0579	96.1488	1
YDR064W	7501.1681	4833.9245	1
YDR065W	6.7479	55.8944	1
YDR066C	14.6035	40.5274	1
YDR067C	20.7101	162.1117	1
YDR068W	52.0429	134.5149	1
YDR069C	6.0011	10.2907	1
YDR070C	449.4006	7.7571	1
YDR071C	346.3799	519.7397	1
YDR072C	29.251	87.8878	1
YDR073W	22.5517	32.075	1
YDR074W	31.0084	45.8107	1
YDR075W	32.182	85.3693	1
YDR076W	5.2263	14.2467	0
YDR078C	7.9538	75.7709	1
YDR079CA	69.973	125.9636	1
YDR079W	47.5816	56.8823	1
YDR080W	12.0351	28.8216	1
YDR081C	12.6086	34.7956	1
YDR082W	1.3866	94.9512	1
YDR084C	54.8005	97.8078	1
YDR085C	3.0956	11.9197	1
YDR086C	734.699	649.8655	1
YDR087C	127.0545	378.5852	1
YDR088C	24.3627	77.0816	1
YDR089W	25.9707	41.2507	1
YDR090C	18.7443	68.1142	1
YDR091C	137.7586	191.1846	1
YDR092W	149.196	115.6633	1
YDR093W	14.8645	11.3768	1
YDR096W	10.9731	6.4845	1
YDR097C	22.1053	14.5468	1
YDR098C	217.2156	241.7249	1
YDR100W	76.0136	162.8949	1
YDR101C	79.6316	168.84	1
YDR103W	15.4865	37.1333	1
YDR104C	1.6539	13.5479	1
YDR105C	13.9002	63.5698	1
YDR106W	2.4059	9.815	0
YDR107C	12.8548	17.1436	1
YDR108W	7.662	37.7838	1
YDR109C	6.4254	27.6656	1
YDR110W	18.6452	77.2633	1
YDR111C	12.2956	51.0526	1
YDR113C	38.5225	38.3084	1
YDR114C	1.352	6.5663	0
YDR115W	94.7172	237.8242	1
YDR116C	41.2374	55.6573	1
YDR117C	43.4206	40.8793	1
YDR118W	5.152	41.464	1
YDR119W	59.5612	127.8486	1
YDR119WA	7.1099	21.7045	0
YDR120C	65.2825	186.143	1
YDR121W	87.6208	118.205	1
YDR122W	18.3163	14.0949	1
YDR123C	11.917	38.8752	1
YDR124W	0.8442	11.4793	0
YDR125C	2.2675	13.9486	0
YDR126W	2.646	18.5841	0
YDR127W	86.1671	29.9843	1
YDR128W	6.0977	18.5814	1
YDR129C	213.4122	245.8372	1
YDR130C	33.112	82.5727	1
YDR131C	5.4227	38.666	1
YDR132C	4.1514	26.2102	1
YDR135C	34.44	44.7643	1
YDR137W	11.1676	81.0533	1
YDR138W	12.6758	35.6966	1
YDR139C	197.6355	436.5398	1
YDR140W	24.0757	65.0587	1
YDR141C	13.3441	11.3903	1
YDR142C	4.7441	43.9537	1
YDR143C	25.0571	20.5184	1
YDR144C	42.8933	51.7158	1
YDR145W	54.6612	80.2574	1
YDR146C	32.5915	31.3749	1
YDR147W	15.525	82.0035	1
YDR148C	92.5919	43.8187	1
YDR151C	48.3908	85.8313	1
YDR152W	101.2894	169.7314	1
YDR153C	55.7937	56.4582	1
YDR155C	2902.5756	1686.6169	1
YDR156W	127.8756	44.2911	1
YDR158W	518.6541	634.8654	1
YDR159W	7.2282	24.1373	1
YDR160W	1.6102	21.6617	1
YDR161W	81.8736	172.6195	1
YDR162C	41.0639	114.8831	1
YDR163W	30.3445	73.3075	1
YDR164C	16.4798	26.6785	1
YDR165W	80.0382	207.7627	1
YDR166C	18.6543	20.3156	1
YDR167W	65.1988	153.0176	1
YDR168W	171.7999	158.8508	1
YDR169C	25.9069	16.6029	1
YDR169CA	0	1.3176	0
YDR171W	22.4434	22.6858	1
YDR172W	343.9119	250.6329	1
YDR173C	10.4057	52.7822	1
YDR174W	309.6968	518.0683	1
YDR175C	44.581	111.5866	1
YDR176W	22.7577	46.8664	1
YDR177W	163.6808	337.6911	1
YDR178W	72.9932	28.506	1
YDR179C	20.9966	69.7488	1
YDR179WA	8.5788	68.9606	1
YDR180W	7.6331	11.9699	1
YDR181C	9.398	51.313	1
YDR182W	33.0625	48.9165	1
YDR182WA	0	7.7776	0
YDR183W	35.0073	55.9035	1
YDR184C	27.6621	103.4104	1
YDR185C	7.228	35.4727	0
YDR186C	17.5994	45.8136	1
YDR188W	152.099	205.5145	1
YDR189W	48.1755	68.0908	1
YDR190C	132.3798	280.0087	1
YDR191W	7.5818	40.7731	1
YDR192C	26.2709	22.2697	1
YDR194C	56.0639	142.4074	1
YDR195W	20.4387	74.7902	1
YDR196C	33.9869	153.506	1
YDR197W	13.1946	65.6185	1
YDR198C	11.01	86.5257	1
YDR200C	10.8938	24.359	1
YDR201W	38.7632	118.5616	1
YDR202C	15.3958	48.4593	1
YDR204W	26.1306	77.7297	1
YDR205W	8.9976	17.847	1
YDR206W	14.2787	95.3502	1
YDR207C	12.9636	12.7512	1
YDR208W	25.003	34.9751	1
YDR210W	311.9699	440.6006	1
YDR211W	67.9907	156.9632	1
YDR212W	179.4636	223.4913	1
YDR213W	10.144	19.9981	1
YDR214W	174.9169	131.1741	1
YDR216W	3.2168	3.8301	1
YDR217C	12.2705	21.2905	1
YDR218C	0.1618	4.4016	0
YDR219C	20.9133	74.3871	1
YDR221W	21.9764	32.3511	1
YDR222W	16.8249	34.2867	1
YDR223W	0.5866	9.8285	0
YDR224C	1846.8761	1506.0732	1
YDR226W	1478.6467	1058.6712	1
YDR227W	11.0196	15.6624	1
YDR228C	22.9948	59.1353	1
YDR229W	20.4071	101.8984	1
YDR231C	12.6373	56.8517	1
YDR232W	87.7764	48.8234	1
YDR233C	458.4765	270.031	1
YDR234W	47.2924	74.5738	1
YDR235W	11.084	97.0168	1
YDR236C	23.153	145.5702	1
YDR237W	42.8289	110.7071	1
YDR238C	115.7863	104.3831	1
YDR239C	15.1634	18.8761	1
YDR240C	15.1751	72.2119	1
YDR242W	1.1233	27.5194	1
YDR243C	18.4158	32.9449	1
YDR244W	19.5995	54.5012	1
YDR245W	57.6418	303.2851	1
YDR246W	28.6544	17.8491	1
YDR246WA	2.0314	3.9463	0
YDR247W	8.7644	5.6273	0
YDR248C	27.8917	91.9061	1
YDR249C	5.3198	70.5588	1
YDR251W	21.5691	26.3285	1
YDR252W	26.9138	42.0928	1
YDR253C	4.2807	7.6228	0
YDR254W	6.4293	27.1581	1
YDR255C	5.3661	7.2654	0
YDR256C	0	6.7188	0
YDR257C	24.9588	91.8535	1
YDR258C	42.2861	36.0623	1
YDR259C	2.3227	6.2477	0
YDR260C	34.4312	71.165	1
YDR261C	36.4577	54.2431	1
YDR262W	44.9543	132.9462	1
YDR263C	0.6369	10.9802	0
YDR264C	44.3432	143.3386	1
YDR265W	6.697	131.8727	1
YDR266C	49.5621	48.7657	1
YDR267C	35.6424	119.1574	1
YDR268W	12.2773	70.8496	1
YDR270W	7.3809	11.0193	1
YDR272W	92.7468	208.0224	1
YDR273W	1.4995	18.9349	0
YDR275W	5.5177	165.0137	1
YDR276C	1074.5982	566.6548	1
YDR277C	5.376	3.0717	0
YDR279W	24.8206	73.6549	1
YDR280W	58.2702	266.4502	1
YDR281C	55.2867	181.3197	1
YDR282C	7.2752	61.0295	1
YDR283C	11.1743	19.8183	1
YDR284C	45.1625	181.44	1
YDR285W	2.2735	24.3678	1
YDR286C	29.1157	72.7216	1
YDR287W	21.2974	48.4201	1
YDR288W	17.5958	138.0438	1
YDR289C	36.317	56.8957	1
YDR291W	4.6513	25.5602	1
YDR292C	50.2222	106.462	1
YDR293C	40.4138	31.9477	1
YDR294C	39.6782	61.0313	1
YDR295C	12.8168	37.4462	1
YDR296W	44.377	72.4267	1
YDR297W	79.3781	92.9023	1
YDR298C	192.9988	203.7098	1
YDR299W	83.2703	125.2485	1
YDR300C	66.7029	152.1081	1
YDR301W	10.3701	14.4947	1
YDR302W	51.0796	209.6514	1
YDR303C	30.1529	38.097	1
YDR304C	316.2545	504.5113	1
YDR305C	22.6579	105.3241	1
YDR306C	11.1762	72.6494	1
YDR307W	19.1585	20.4196	1
YDR308C	67.9204	154.0924	1
YDR309C	105.4162	76.8812	1
YDR310C	14.4092	22.7198	1
YDR311W	22.53	98.4252	1
YDR313C	12.9016	31.561	1
YDR314C	2.7743	9.2389	0
YDR315C	6.5649	43.4555	1
YDR316W	12.3596	42.6533	1
YDR317W	2.4802	26.1784	1
YDR318W	6.2424	94.0732	1
YDR319C	11.718	85.9697	1
YDR320C	25.8632	13.9563	1
YDR320CA	118.4876	224.7408	1
YDR321W	198.1048	245.8055	1
YDR322CA	140.742	271.3597	1
YDR322W	30.5738	59.937	1
YDR323C	5.587	58.1438	1
YDR324C	59.4787	122.2412	1
YDR325W	6.9613	40.5054	1
YDR326C	20.0506	31.0681	1
YDR328C	255.3628	512.4533	1
YDR329C	13.5077	93.9534	1
YDR330W	20.6872	22.3561	1
YDR331W	41.6371	90.1067	1
YDR332W	2.4878	30.0603	1
YDR333C	25.6074	114.876	1
YDR334W	6.5298	20.9214	1
YDR335W	19.5701	30.4467	1
YDR336W	11.7572	157.7652	1
YDR337W	42.0497	102.5732	1
YDR338C	10.9506	36.8924	1
YDR339C	109.9424	257.3438	1
YDR341C	299.2309	252.9187	1
YDR346C	114.9122	317.2833	1
YDR347W	42.6006	58.5509	1
YDR348C	44.7516	107.6034	1
YDR349C	19.4342	56.9656	1
YDR350C	3.9263	61.2369	1
YDR351W	16.117	37.7102	1
YDR352W	25.4499	108.5161	1
YDR353W	470.2436	318.1052	1
YDR354W	48.2604	99.8741	1
YDR356W	23.2569	25.2724	1
YDR357C	38.3474	146.2911	1
YDR358W	17.7154	26.7668	1
YDR359C	6.4979	6.5152	1
YDR361C	134.9632	363.4932	1
YDR362C	11.2224	41.0257	1
YDR363W	9.3107	42.4468	1
YDR363WA	445.7278	605.9731	1
YDR364C	12.6421	86.9799	1
YDR365C	64.2902	250.2087	1
YDR367W	34.3116	94.7362	1
YDR368W	131.4689	160.261	1
YDR369C	5.7832	15.4476	1
YDR370C	8.675	114.3557	1
YDR371W	8.714	64.5874	1
YDR372C	112.2133	324.8659	1
YDR373W	95.3839	331.2341	1
YDR374C	0.8936	2.3868	0
YDR374WA	37.902	120.7528	1
YDR375C	7.9591	49.3025	1
YDR376W	16.5339	74.3601	1
YDR377W	345.4302	399.2456	1
YDR378C	239.8982	635.8478	1
YDR379CA	20.4483	100.1365	1
YDR379W	8.2964	22.0617	1
YDR380W	30.3343	203.7332	1
YDR381CA	20.1158	131.2765	1
YDR381W	639.0555	761.5804	1
YDR382W	5476.5732	5629.764	1
YDR383C	14.912	110.3034	1
YDR384C	96.3862	59.358	1
YDR386W	5.64	33.1857	1
YDR387C	2.4693	53.0064	1
YDR388W	134.7107	106.2786	1
YDR389W	18.973	25.0469	1
YDR390C	28.4545	69.7239	1
YDR391C	17.648	54.2823	1
YDR392W	15.0176	51.0538	1
YDR393W	9.611	63.3055	1
YDR394W	117.5698	200.5838	1
YDR395W	72.0964	90.0064	1
YDR397C	88.0185	184.6857	1
YDR398W	55.7579	178.7338	1
YDR399W	329.035	1329.3571	1
YDR400W	27.1563	39.273	1
YDR402C	0	3.2653	0
YDR403W	0.767	7.9464	0
YDR404C	117.4231	132.6132	1
YDR405W	32.7199	27.2412	1
YDR406W	3.4574	8.3302	1
YDR407C	10.7034	23.9997	1
YDR408C	118.5496	249.49	1
YDR410C	27.9866	195.5574	1
YDR411C	24.8708	67.2122	1
YDR412W	139.9748	155.9873	1
YDR414C	14.1742	54.3362	1
YDR415C	26.3451	112.6647	1
YDR416W	11.0999	74.3073	1
YDR419W	4.5554	58.6807	1
YDR421W	4.1887	31.0055	1
YDR422C	15.4009	25.7494	1
YDR423C	19.9158	27.9602	1
YDR424C	135.761	224.9981	1
YDR425W	8.7739	12.1442	1
YDR427W	141.5794	344.3884	1
YDR428C	25.3809	73.9587	1
YDR429C	432.3196	786.0776	1
YDR430C	15.6791	22.0354	1
YDR432W	518.1957	131.2134	1
YDR434W	45.2919	131.9783	1
YDR435C	14.1767	57.7126	1
YDR436W	5.8911	14.3521	1
YDR437W	18.4355	36.2848	0
YDR438W	0	36.8215	1
YDR439W	14.3897	20.8697	1
YDR440W	9.3026	31.911	1
YDR441C	42.1404	38.008	1
YDR443C	4.1576	8.0767	1
YDR444W	5.5888	33.4435	1
YDR446W	0.4527	0.8794	0
YDR448W	15.7756	95.9227	1
YDR449C	52.9084	152.3586	1
YDR451C	53.4846	100.1365	1
YDR452W	27.6679	132.692	1
YDR453C	6.954	26.3428	0
YDR454C	515.1032	712.2784	1
YDR456W	22.308	44.809	1
YDR457W	18.6659	15.66	1
YDR458C	26.9884	59.5596	1
YDR459C	5.1227	87.6083	1
YDR460W	34.9325	78.4127	1
YDR461CA	51.3364	114.4417	1
YDR461W	698.8462	499.7964	1
YDR462W	79.9784	88.9104	1
YDR463W	47.7847	68.339	1
YDR464W	14.2082	15.0089	1
YDR465C	44.6932	164.608	1
YDR466W	8.1741	20.1089	1
YDR468C	73.0944	185.4818	1
YDR469W	45.5168	150.3937	1
YDR470C	13.7822	25.846	1
YDR471W	2027.3312	2385.4854	1
YDR472W	33.0768	129.216	1
YDR473C	15.9167	44.1111	1
YDR475C	5.1684	20.2327	1
YDR476C	29.5423	25.1451	1
YDR477W	50.0307	31.2401	1
YDR478W	18.932	61.1852	1
YDR479C	7.2976	28.1127	1
YDR480W	12.9131	23.8518	1
YDR481C	85.7196	309.9939	1
YDR482C	22.6303	78.1553	1
YDR483W	150.8837	226.6049	1
YDR484W	12.1916	45.0822	1
YDR485C	11.3015	44.7472	1
YDR486C	68.2324	87.113	1
YDR488C	3.7278	14.2339	1
YDR489W	16.0394	25.2881	1
YDR490C	9.132	14.0878	1
YDR492W	37.4295	85.5311	1
YDR493W	51.8224	64.2587	1
YDR494W	28.8055	153.15	1
YDR495C	7.9407	19.1835	1
YDR496C	112.6557	253.0566	1
YDR497C	71.9366	260.4575	1
YDR498C	14.8297	60.7414	1
YDR499W	6.5179	30.2282	1
YDR500C	3091.9804	2828.656	1
YDR501W	7.7583	13.4111	1
YDR502C	219.1962	103.685	1
YDR503C	11.9673	41.8951	1
YDR504C	1.6025	56.5538	0
YDR505C	30.9117	31.055	1
YDR506C	5.4111	9.9644	1
YDR507C	47.295	32.8048	1
YDR508C	116.4326	196.7577	1
YDR510W	867.5921	206.1251	1
YDR511W	44.4017	30.2392	1
YDR512C	52.0932	47.4145	1
YDR513W	267.473	193.8126	1
YDR514C	16.5914	68.5942	1
YDR515W	25.2755	41.5128	1
YDR516C	30.8253	37.7924	1
YDR517W	48.3739	85.9334	1
YDR518W	55.3896	55.9889	1
YDR519W	145.8396	277.9399	1
YDR520C	6.9292	42.1945	1
YDR522C	0	0.2651	0
YDR523C	0	6.11	0
YDR524C	10.3733	21.2557	1
YDR524CB	7995.587	4320.175	1
YDR524WC	0	2.1769	0
YDR525WA	132.0619	46.3442	1
YDR527W	44.7622	70.444	1
YDR528W	16.1842	24.366	1
YDR529C	153.3049	336.7285	1
YDR530C	12.6237	34.9456	1
YDR531W	43.4372	177.0949	1
YDR532C	7.4654	69.2323	1
YDR533C	18.7181	57.9002	1
YDR534C	7.526	2.7728	0
YDR536W	0	0.9359	0
YDR538W	14.9493	39.1779	1
YDR539W	35	64.1561	1
YDR540C	6.0867	19.9534	0
YDR541C	2.7836	28.1966	1
YEL001C	208.6127	306.5944	1
YEL002C	196.4747	167.7963	1
YEL003W	279.225	413.1023	1
YEL004W	7.9995	27.1952	1
YEL005C	5.5726	22.8278	0
YEL006W	14.6985	163.1928	1
YEL009C	38.4169	614.2808	1
YEL011W	4.7724	7.5682	1
YEL012W	31.2502	53.8234	1
YEL013W	59.4018	99.7334	1
YEL015W	41.5359	152.8018	1
YEL016C	5.0018	68.9619	1
YEL017CA	3615.9663	1738.1904	1
YEL017W	39.7762	40.6065	1
YEL018W	28.4058	107.2721	1
YEL019C	8.4419	17.6419	0
YEL020C	4.8946	34.9438	1
YEL020WA	192.2345	291.3746	1
YEL022W	22.7737	29.8901	1
YEL023C	0.1005	23.0446	1
YEL024W	53.2914	41.2871	1
YEL025C	2.5997	30.4702	1
YEL026W	1014.7846	274.0028	1
YEL027W	1372.7379	1355.2495	1
YEL029C	16.8718	120.4618	1
YEL030W	5.961	15.0954	1
YEL031W	106.7653	52.5099	1
YEL032W	26.9923	31.846	1
YEL034W	5196.6924	1015.2495	1
YEL035C	0	0.7963	0
YEL036C	38.0864	115.7724	1
YEL037C	183.3156	99.2178	1
YEL038W	43.5818	166.1157	1
YEL040W	253.8476	399.9763	1
YEL041W	2.6292	9.14	0
YEL042W	103.4241	53.4404	1
YEL043W	10.9804	14.9177	1
YEL044W	45.9104	213.014	1
YEL046C	299.3779	125.9006	1
YEL047C	116.7179	98.7919	1
YEL048C	45.6206	164.6496	1
YEL050C	35.1772	90.8333	1
YEL051W	372.6303	458.5812	1
YEL052W	20.861	57.3889	1
YEL053C	6.7357	29.7138	1
YEL055C	50.5564	61.5623	1
YEL056W	22.5304	102.126	1
YEL057C	1.1715	13.3705	0
YEL058W	54.0072	170.2799	1
YEL059CA	9.9914	17.6452	0
YEL060C	59.0494	18.769	1
YEL061C	10.7725	32.6568	1
YEL062W	5.907	18.62	1
YEL063C	48.0909	37.798	1
YEL064C	8.1333	36.7283	1
YEL065W	31.1082	90.2236	1
YEL066W	47.5524	36.9507	1
YEL067C	0	4.4128	0
YEL071W	334.208	847.3708	1
YEL072W	2.6586	53.081	1
YEL073C	1.8974	17.2014	0
YER001W	38.8794	71.2451	1
YER002W	235.7267	213.1846	1
YER003C	278.2634	101.6311	1
YER004W	100.4349	121.3689	1
YER005W	7.9428	51.6799	1
YER006W	195.1201	209.9987	1
YER007CA	210.4745	252.8967	1
YER007W	6.216	44.0626	1
YER008C	18.0857	24.9031	1
YER009W	1329.9062	1123.11	1
YER010C	30.0386	84.1317	1
YER012W	169.3556	103.3128	1
YER013W	10.669	29.517	1
YER014W	27.8391	54.6985	1
YER015W	1.1982	12.8024	1
YER016W	34.3976	143.4936	1
YER017C	15.5902	29.3232	1
YER018C	16.3591	48.2694	1
YER019CA	487.4905	893.4112	1
YER019W	12.2047	47.9763	1
YER020W	14.0305	29.7743	1
YER021W	118.289	251.4228	1
YER022W	23.0538	74.4481	1
YER023W	301.5157	297.2766	1
YER024W	0.9663	23.6804	1
YER025W	345.0317	180.8266	1
YER026C	138.6131	340.1997	1
YER027C	73.7086	40.0227	1
YER028C	5.2111	8.4361	0
YER029C	65.0202	93.2131	1
YER030W	179.5249	171.7859	1
YER031C	168.8653	211.5644	1
YER032W	12.6077	8.5951	1
YER033C	2.7424	3.0973	0
YER034W	37.9237	37.9088	1
YER035W	62.3247	36.8684	1
YER036C	330.3487	279.4	1
YER037W	7.8811	59.3785	1
YER038C	7.3796	24.6578	1
YER039C	0	18.3761	0
YER039CA	2.7989	19.0305	0
YER040W	13.3387	18.2481	1
YER041W	1.7167	34.1394	1
YER042W	139.1855	101.0354	1
YER043C	1047.7106	153.908	1
YER044C	71.6374	103.0358	1
YER044CA	1.3632	6.9516	0
YER045C	6.4433	15.9184	1
YER046W	6.6512	77.9865	1
YER047C	10.4011	14.7085	1
YER048C	163.8294	139.5791	1
YER048WA	265.0976	346.1164	1
YER049W	82.8154	216.1956	1
YER050C	81.6875	210.3106	1
YER051W	5.1512	66.938	1
YER052C	101.6635	71.472	1
YER053C	10.0246	31.2028	1
YER053CA	19.5522	27.6239	0
YER054C	0.3751	6.5584	0
YER055C	377.3959	1446.6149	1
YER056C	205.2872	674.8601	1
YER057C	324.0082	197.7185	1
YER058W	28.4614	55.2901	1
YER059W	19.2333	37.8381	1
YER060W	6.8772	35.0383	1
YER061C	13.0126	68.3125	1
YER062C	80.29	67.6419	1
YER063W	150.1817	69.898	1
YER064C	73.5219	95.7885	1
YER065C	0.4921	14.4589	0
YER067W	27.0409	21.751	0
YER068W	38.879	30.6193	1
YER069W	9.5383	20.3052	1
YER070W	140.3679	92.3702	1
YER071C	53.2964	194.521	1
YER072W	1259.2135	526.7385	1
YER073W	167.8481	209.1029	1
YER074WA	182.9678	403.2524	1
YER075C	10.2761	13.0691	1
YER076C	4.0739	27.26	1
YER077C	8.5704	68.6291	1
YER078C	14.3446	44.6643	1
YER080W	74.2317	49.0595	1
YER081W	29.9351	222.1158	1
YER082C	58.6279	140.2031	1
YER083C	84.1531	39.1231	1
YER085C	0.3935	7.2618	0
YER086W	108.8639	110.5951	1
YER087CB	441.1252	153.1969	1
YER087W	8.4474	43.4522	1
YER088C	39.4979	48.5028	1
YER089C	50.3291	25.0879	1
YER090W	169.7057	79.138	1
YER091C	523.6041	88.3251	1
YER092W	94.4119	201.3271	1
YER093C	4.6086	12.6832	1
YER093CA	18.6971	22.1965	0
YER094C	190.2241	571.4241	1
YER095W	29.9442	76.9514	1
YER096W	1.7394	6.6281	0
YER098W	2.0919	6.8024	0
YER099C	48.5905	171.6626	1
YER100W	120.162	122.8164	1
YER101C	14.4888	33.25	1
YER103W	33.101	70.526	1
YER104W	15.4067	42.6655	1
YER105C	21.6156	35.0885	1
YER106W	0.2263	8.7935	0
YER107C	43.8616	164.4059	1
YER109C	5.2362	22.1784	1
YER110C	297.442	97.0222	1
YER111C	13.3105	12.2579	1
YER112W	158.8296	151.797	1
YER113C	11.266	31.9795	1
YER114C	29.493	22.2383	1
YER115C	6.421	277.1945	1
YER116C	14.4605	60.7842	1
YER118C	39.3359	75.5098	1
YER119C	14.0617	22.566	1
YER120W	393.9095	145.9248	1
YER121W	3.5652	16.7375	0
YER122C	147.5543	178.2754	1
YER123W	24.8418	54.4814	1
YER124C	130.3619	404.0311	1
YER125W	88.0025	31.2103	1
YER126C	222.1482	429.0112	1
YER127W	63.619	164.9088	1
YER128W	15.4472	32.9439	1
YER129W	8.7138	32.8632	1
YER130C	15.1472	96.5334	1
YER131W	2665.0526	1948.5126	1
YER132C	3.3686	12.6692	1
YER133W	278.6432	809.5635	1
YER134C	50.1122	91.7763	1
YER136W	132.0933	128.0096	1
YER137C	10.5619	16.9496	0
YER139C	19.3206	72.1335	1
YER140W	8.7503	48.9609	1
YER142C	11.7755	27.5852	1
YER143W	36.4706	57.6426	1
YER144C	4.7713	15.1446	1
YER145C	97.4179	202.906	1
YER146W	241.0355	434.395	1
YER147C	5.4925	44.2799	1
YER148W	164.9496	348.0607	1
YER149C	24.2861	55.4115	1
YER150W	7.8066	18.2877	0
YER151C	35.2045	23.0888	1
YER152C	18.0839	74.1641	1
YER153C	2.6882	15.4056	0
YER154W	20.9422	28.1143	1
YER155C	23.2618	25.1496	1
YER156C	160.6599	157.8206	1
YER157W	15.8408	70.1122	1
YER158C	3.8271	9.7581	0
YER159C	90.8945	98.5102	1
YER161C	32.2424	54.2572	1
YER162C	5.1842	23.9409	1
YER163C	22.9423	74.8524	1
YER164W	31.5196	14.263	1
YER165W	1186.5255	146.5131	1
YER166W	16.6505	16.5125	1
YER167W	15.3149	46.3493	1
YER168C	32.8795	92.7619	1
YER169W	13.0967	37.41	1
YER170W	26.683	74.5133	1
YER171W	17.1896	47.8635	1
YER172C	13.0812	14.8956	1
YER173W	4.8894	41.9341	1
YER174C	43.3636	163.3163	1
YER175C	9.1435	47.7369	1
YER175WA	1.2347	13.1916	0
YER176W	24.1817	27.6505	1
YER177W	966.9813	1437.9403	1
YER178W	535.7602	125.23	1
YER179W	1.6695	3.0406	0
YER180C	0.2558	94.4215	1
YER180CA	48.3746	94.7445	1
YER182W	20.4229	77.9896	1
YER183C	42.013	171.0796	1
YER184C	0.7774	13.5082	1
YER185W	1.1279	7.8882	0
YER186C	0.8936	134.9619	1
YER187W	0	13.5699	0
YFL001W	19.0541	91.4846	1
YFL002C	24.5434	63.8281	1
YFL003C	0.8594	5.1605	0
YFL004W	143.2291	135.5806	1
YFL005W	267.0915	496.369	1
YFL007W	15.0298	21.5401	1
YFL008W	25.4932	26.0137	1
YFL010C	278.2555	148.1644	1
YFL011W	0.3765	1.8284	0
YFL012W	0	2.6763	0
YFL013C	25.4637	32.9137	1
YFL014W	47.8205	66.3555	1
YFL016C	43.436	69.7961	1
YFL017C	71.866	170.7722	1
YFL017WA	130.1774	86.5587	1
YFL018C	203.9906	97.2031	1
YFL021W	9.4027	12.9166	1
YFL022C	277.549	113.7614	1
YFL023W	28.0028	37.0752	1
YFL024C	7.3373	21.9411	1
YFL025C	7.7353	18.2655	1
YFL026W	188.3958	667.3196	1
YFL027C	9.0965	143.7789	1
YFL028C	33.8128	172.2532	1
YFL029C	10.9694	42.9801	1
YFL030W	0.8887	14.3299	0
YFL031W	15.6113	456.3364	1
YFL034CA	596.3022	1675.0106	1
YFL034CB	36.2714	38.5413	1
YFL034W	9.7849	14.6602	1
YFL036W	12.8041	10.216	1
YFL037W	278.4124	124.734	1
YFL038C	355.7802	554.2065	1
YFL039C	1973.1596	553.2294	1
YFL040W	0	1.2324	0
YFL041W	31.4074	34.36	1
YFL041WA	0	29.9377	0
YFL042C	9.9686	10.2755	1
YFL044C	43.8261	41.2457	1
YFL045C	997.8699	1328.2775	1
YFL046W	43.1478	91.4985	1
YFL047W	15.0775	62.871	1
YFL048C	90.7838	237.3385	1
YFL049W	14.7434	58.3506	1
YFL050C	0.2398	17.5501	1
YFL052W	0.1473	0.1431	0
YFL053W	0	0.6758	0
YFL054C	0.7428	4.5353	0
YFL055W	0.1228	9.1846	0
YFR001W	161.4073	321.9949	1
YFR002W	41.777	78.6163	1
YFR003C	60.54	119.7377	1
YFR004W	153.0207	275.9992	1
YFR005C	18.9527	118.4714	1
YFR006W	68.1314	146.9083	1
YFR007W	10.2706	22.0225	1
YFR008W	20.3718	48.5692	1
YFR009W	107.5164	148.8982	1
YFR010W	114.7619	134.6709	1
YFR011C	108.098	105.3864	1
YFR012W	0.3375	1.9667	0
YFR013W	17.342	34.451	1
YFR014C	18.1162	53.088	1
YFR015C	4.1644	9.501	1
YFR017C	2.7958	3.055	0
YFR018C	14.3238	40.0912	1
