ORF	rpf	mRNA	reliable
YBL013W	6.8274	3.3158	0
YBL014C	1.9184	33.4658	1
YBL015W	23.1846	24.4174	1
YBL016W	31.3931	74.9142	1
YBL017C	47.3508	38.9819	1
YBL018C	63.195	207.0355	1
YBL019W	4.216	33.6561	1
YBL020W	14.9238	74.4501	1
YBL021C	27.8376	114.5727	1
YBL022C	62.1468	33.0651	1
YBL023C	20.8637	29.5535	1
YBL024W	149.854	100.1852	1
YBL025W	29.5222	133.3636	1
YBL026W	283.0316	319.2544	1
YBL028C	344.0706	675.8439	1
YBL029CA	35.9211	89.3204	1
YBL029W	8.1892	19.9743	1
YBL030C	447.4194	93.9759	1
YBL031W	14.771	20.8331	1
YBL032W	134.1652	74.3173	1
YBL033C	28.1525	64.8962	1
YBL034C	9.1205	8.0656	1
YBL035C	21.7858	15.5873	1
YBL036C	106.0163	277.9562	1
YBL037W	13.9243	14.6954	1
YBL038W	63.5327	198.8445	1
YBL039C	266.5518	346.8563	1
YBL039WB	18.1263	80.3293	0
YBL040C	104.2158	484.9535	1
YBL041W	216.9495	180.7409	1
YBL042C	28.1067	52.2044	1
YBL043W	0.7971	4.1293	0
YBL044W	0	3.2389	0
YBL045C	111.0353	79.6143	1
YBL046W	17.6998	65.6015	1
YBL047C	88.6286	24.9617	1
YBL049W	0.9842	4.7798	0
YBL050W	112.9005	211.4251	1
YBL051C	60.8606	21.3332	1
YBL052C	6.0255	48.6652	1
YBL054W	25.4471	55.899	1
YBL055C	15.5582	100.3751	1
YBL056W	77.7043	261.1082	1
YBL057C	55.7693	202.4398	1
YBL058W	173.6567	166.6322	1
YBL059CA	98.8117	167.0008	1
YBL059W	18.2466	34.7376	1
YBL060W	5.6886	46.2392	1
YBL061C	25.7118	88.8933	1
YBL063W	5.9299	11.6996	1
YBL064C	53.1167	49.3058	1
YBL066C	2.3315	4.4131	0
YBL067C	15.4227	35.7567	1
YBL068W	85.9461	154.3687	1
YBL069W	34.9497	42.0077	1
YBL071CB	0	49.5725	0
YBL071WA	174.9714	141.2284	1
YBL074C	7.5152	37.8085	1
YBL075C	5.2814	37.0382	1
YBL076C	379.1511	227.5688	1
YBL078C	50.3884	38.817	1
YBL079W	19.0144	32.0987	1
YBL080C	3.7995	30.7545	1
YBL082C	15.9986	46.9095	1
YBL085W	20.8637	34.3422	1
YBL086C	15.7249	42.8239	1
YBL088C	0.9612	6.9662	1
YBL089W	10.4436	65.7916	1
YBL090W	76.9355	189.4373	1
YBL091C	133.0134	104.7169	1
YBL091CA	29.0518	32.1377	1
YBL092W	9089.9763	3400.078	1
YBL093C	59.5307	323.1473	1
YBL095W	7.5897	113.2833	1
YBL097W	10.7323	23.2341	1
YBL098W	25.0104	83.0012	1
YBL099W	281.9985	89.8786	1
YBL101C	9.4001	8.5337	1
YBL102W	61.2217	243.4087	1
YBL103C	17.0531	46.2695	1
YBL104C	6.8751	17.0158	1
YBL105C	20.9288	22.8768	1
YBL106C	4.0762	12.2737	1
YBL107C	45.5489	140.1573	1
YBR001C	14.332	24.511	1
YBR002C	24.8476	147.594	1
YBR003W	16.9409	43.0362	1
YBR004C	18.3418	38.2423	1
YBR005W	27.5343	82.0995	1
YBR006W	8.1317	26.239	1
YBR007C	9.3171	19.4572	1
YBR008C	0.125	23.5615	1
YBR011C	1950.6815	354.0623	1
YBR013C	23.1434	22.4796	0
