mRNA half lifes [min],,,,,
orf,median,sd,mean,cv,95%-confidence
YBL034C,6.95871673908626,1.42495217746881,7.03854195088483,0.20244990900277,4.04 - 10.1
YBL035C,4.91116347996472,1.05827750140084,5.02417554929434,0.210637047017491,3.33 - 7.1
YBL036C,19.1438141446078,3.41423571783777,19.1847093604842,0.177966507268035,13.4 - 25
YBL037W,4.67013855724007,1.25153302980657,4.77769258115258,0.261953444795446,2.55 - 7.51
YBL038W,3.74328707012763,0.57682273550157,3.83941923741035,0.150236975915824,3.01 - 4.93
YBL039C,21.2822324250582,4.07792521600478,21.585997563539,0.188915300485942,14.1 - 31.8
YBL040C,17.3314838936335,2.45856966373676,17.7577404636929,0.138450591096514,13.9 - 23.8
YBL041W,15.5404165471325,5.01558544570121,16.0386498769786,0.312718681695299,5.98 - 27.5
YBL042C,4.84769822942847,1.01082681783825,4.86663084551872,0.207705669471322,2.81 - 7.04
YBL043W,4.44742271896917,2.75836645078066,4.97051743941267,0.554945533217282,1.92 - 12.2
YBL044W,14.7942888937843,8.22970134970074,16.7904624229059,0.490141435203929,7.53 - 35.7
YBL045C,15.9584965104948,2.43369207383666,16.3511199381847,0.148839472955811,13.4 - 24.4
YBL046W,4.12972600282092,0.859514745800334,4.20030157690154,0.204631674669983,2.81 - 6.08
YBL047C,13.6352015612809,2.8140578823334,14.0331245111118,0.20052967392295,8.68 - 20.2
YBL049W,20.0995033484292,6.88153388481777,21.1974953606608,0.324639008889173,11.7 - 39
YBL050W,10.5617154158037,2.03261716576696,10.7227920714288,0.189560438384601,7.75 - 15.7
YBL051C,10.289272357531,2.83352033009995,10.5202419804503,0.269339843642898,6.3 - 16.9
YBL052C,4.15059453268344,1.11880237089775,4.12264796726486,0.271379555029049,2.22 - 6.09
YBL054W,4.52041905509604,1.01405247960292,4.62180527234173,0.219406145401951,2.81 - 6.92
YBL055C,9.49467174598968,1.88550940032355,9.58044440985124,0.1968081353705,6.49 - 14.2
YBL056W,13.2046919268224,2.3202483733642,13.1535292535549,0.176397400928509,8.52 - 17.2
YBL057C,18.321289636044,2.56222543435857,18.3456219464218,0.139664135772639,13 - 23.1
YBL058W,15.4416916667922,2.2001324229297,15.4692754434087,0.142225951756981,11.9 - 20.4
YBL059C-A,9.20229337234568,2.7939108717887,9.27275785237125,0.301303119985414,4.98 - 15.9
YBL059W,6.80387111518299,1.48194565409251,6.75938930141811,0.219242536271968,4.42 - 10.1
YBL060W,3.41878534226283,1.04391895620586,3.39243766371609,0.307719421751245,1.49 - 5.72
YBL061C,5.45904248375729,1.12705899341461,5.59404329574844,0.201474842761977,4.01 - 7.96
YBL063W,4.96849643520777,1.0816742488119,4.92559073832641,0.21960294841293,2.83 - 6.81
YBL064C,18.9875021848153,4.72100502729963,19.5869932818676,0.241027551261278,12.7 - 30.5
YBL066C,2.24198771631613,0.869005864056153,2.28732804810221,0.379921832715322,1.15 - 4.3
YBL067C,13.0346858990213,4.7742265963813,13.930419949435,0.342719502621667,7.67 - 26.2
YBL068W,14.5927148929126,1.43446978435989,14.6579080086214,0.0978632000907748,12 - 17.3
YBL069W,6.90572381405833,1.39056234963141,7.09305962661141,0.196045489934183,5.16 - 10.2
YBL071C-B,12.1516810924746,6.65468434204106,13.7987599011755,0.482266840621973,5.69 - 33.4
YBL071W-A,7.22595091095778,2.28309633182418,7.5532017207501,0.302268682372414,4.34 - 11.6
YBL072C,40.5029031686289,7.3851138161741,41.1417152499186,0.179504276166238,28.6 - 55.9
YBL074C,6.16219063316548,3.37345453537324,6.62603569909861,0.509121092696823,1.57 - 13.1
YBL075C,5.98985803205435,1.96037254369167,6.49003017292141,0.302059080075005,4.17 - 11.2
YBL076C,24.1188886596574,3.73515703140272,24.6481081570506,0.151539298984059,18.2 - 33.2
YBL078C,5.87838574037421,2.29085271076163,6.2515647344625,0.366444691539868,3.07 - 12.4
YBL079W,11.4396280987116,2.40134399983895,11.5597347184356,0.207733486825547,8.09 - 16.8
YBL080C,3.06104879382303,0.894580273788842,3.15340545580337,0.283687044475204,1.37 - 4.75
YBL081W,3.78413301699874,0.839621801793272,3.78042800204795,0.222097022172735,2.58 - 5.3
YBL082C,14.0991508544236,4.41269449499841,14.5939167309929,0.302365333195799,8.59 - 27.2
YBL084C,4.05813254707151,0.64192430887687,4.14470121409372,0.154878307438437,2.98 - 5.62
YBL085W,5.0420713931707,1.10221567062696,5.18346146542991,0.21264085360294,3.42 - 7.64
YBL086C,3.25226954921679,0.829157055190292,3.29567365992052,0.25158955065056,1.89 - 4.78
YBL087C,35.703071816217,7.08049110975716,35.5946878291834,0.19891988219523,22.5 - 49.9
YBL088C,6.39361136505031,1.71690051027559,6.59277088916401,0.260421685986012,3.27 - 9.82
YBL089W,6.6016740304134,1.5213280335279,6.71566766465382,0.226534145150602,4.03 - 10.1
YBL090W,5.21633349394819,1.13114542375742,5.24729271367162,0.215567433623488,3.02 - 7.79
YBL091C,51.0528691536895,9.47742202410395,52.3146979388084,0.181161746077355,38.2 - 74.8
YBL091C-A,23.1260038930786,6.42727660941167,23.1744578791834,0.277343126769968,14.1 - 37.7
YBL092W,30.2512893543921,6.28021255647043,30.2130303089973,0.207864371505966,20.3 - 43.4
YBL093C,7.2214300560788,1.04517052522464,7.29690072364697,0.143234856113304,5.53 - 9.41
YBL095W,4.70164237169185,1.33151722697543,4.87255965094499,0.273268532837191,2.65 - 7.94
YBL097W,4.5414536685405,2.74910646986766,4.99949959576256,0.549876326062257,1.48 - 10.9
YBL098W,23.4553913958341,5.22687580453784,23.3278194578411,0.224061910886444,12.6 - 32.2
YBL099W,37.6029046406018,5.51115901586971,38.187693551359,0.144317671567614,28.6 - 49.3
YBL101C,10.0675456964804,1.29196687056084,10.0659494420815,0.128350224486493,7.84 - 12.8
YBL102W,16.4384290620497,3.33442902564926,16.9894894511989,0.196264227670124,12.2 - 25.9
YBL103C,3.56285019445711,0.803105783379621,3.5395809372149,0.226892899929431,1.98 - 5.27
YBL104C,4.7008524978167,0.765711825921599,4.70169915508889,0.162858532769548,3.48 - 6.44
YBL105C,6.23692128678031,1.17845570994595,6.24290687709286,0.188767145361413,4.17 - 8.76
YBL106C,6.41854930904878,3.27625342107419,6.8290343318231,0.479753543748777,2.1 - 15.5
YBL107C,5.67343546628987,1.76352805899945,5.98480676301601,0.294667502031549,3.71 - 10.4
YBL108C-A,6.33527119173258,3.03861762043485,7.00667027552613,0.433674984114574,2.73 - 14.2
YBL111C,2.49156447149316,1.90327571098302,3.06877086029137,0.620207828355847,1.13 - 6.63
YBL112C,3.08748229782301,2.64041296972285,3.76887138789266,0.700584524641797,1.07 - 9.39
YBL113C,9.2558693171561,1.43106474520391,9.22865546613614,0.155067523157095,6.35 - 12.4
YBR001C,7.30806448320954,1.57354232355342,7.41084687873636,0.212329622956902,4.8 - 11.2
