Synthesis rate [synthesized mRNA molecules per min],,,,,
orf,median,sd,mean,cv,95%-confidence
YBL014C,0.726085693960861,0.302718757435741,0.830709802202153,0.364409757334337,0.479 - 1.59
YBL015W,0.183127616831046,0.0314757791666931,0.178317704098585,0.176515166151373,0.12 - 0.237
YBL016W,0.838829841555016,0.298681074712842,0.775811729983591,0.384991697301559,0.251 - 1.2
YBL017C,0.484140789417575,0.0844625978839716,0.47899815459345,0.176331781394146,0.327 - 0.616
YBL018C,0.959415950660889,0.202298665041642,0.994156118431317,0.203487823784508,0.664 - 1.42
YBL019W,0.176885759767918,0.0366942379324399,0.182561581348612,0.200996494779316,0.121 - 0.259
YBL020W,0.259388558071184,0.0574893305539709,0.269148231067722,0.213597281787469,0.178 - 0.376
YBL021C,0.442330862284606,0.174973980326163,0.486326226396281,0.359787259722215,0.285 - 0.885
YBL022C,0.509497442430353,0.07410720280142,0.509897603170557,0.145337421357973,0.386 - 0.658
YBL023C,0.512498627616543,0.171151422184513,0.499915225037072,0.342360891632818,0.186 - 0.83
YBL024W,1.30515938458488,0.113634240890142,1.30232121127804,0.0872551563362978,1.09 - 1.52
YBL025W,0.42137693939511,0.174494127307484,0.461839682389442,0.377824024139059,0.218 - 0.925
YBL026W,1.36646633273002,0.280007633684168,1.41178406491469,0.198336020814265,0.942 - 1.98
YBL027W,1.95309981605257,0.246846309992977,1.96019102850084,0.125929721340356,1.59 - 2.43
YBL028C,1.7458630558837,0.560862597200989,1.81210716855514,0.309508514139473,1.19 - 2.69
YBL029C-A,0.591257887679359,0.141937403175227,0.603576006239033,0.235160777943542,0.366 - 0.895
YBL029W,0.151304114162835,0.0602712341743309,0.153024726132187,0.393865982954067,0.0358 - 0.261
YBL030C,0.997295058494584,0.123706354294837,1.01289130348551,0.122131914716954,0.803 - 1.28
YBL031W,0.363091308625284,0.122233570418817,0.377669059470824,0.323652593066761,0.192 - 0.666
YBL032W,0.562478644694441,0.150203999157476,0.587570816847931,0.255635567408295,0.324 - 0.92
YBL033C,0.876142509649734,0.163856441531118,0.897583622900728,0.182552842265083,0.655 - 1.26
YBL034C,0.380146566367988,0.128928100058417,0.398274672196181,0.323716543026642,0.248 - 0.78
YBL035C,0.587892012324984,0.26309648449499,0.57175865539734,0.460153041867206,0.174 - 1.03
YBL036C,0.664481742503435,0.0773153660713453,0.669549003137793,0.115473797599597,0.54 - 0.807
YBL037W,0.260289568840915,0.104669128277529,0.284972479251069,0.367295566760019,0.176 - 0.545
YBL038W,0.888196377571135,0.118315819112512,0.89004839840623,0.132931893731145,0.704 - 1.06
YBL039C,1.36685639540388,0.154233405312408,1.36795065672625,0.112747784106128,1.08 - 1.67
YBL040C,0.699204101759593,0.0790055050855476,0.691845741237138,0.114195261134762,0.54 - 0.863
YBL041W,1.20556813030422,0.218448768823001,1.17771655546924,0.185485011489853,0.684 - 1.5
YBL042C,0.737634357618015,0.233304086489593,0.767510623804779,0.303975058134094,0.423 - 1.3
YBL043W,0.0255549090860098,0.0217105775291019,0.0302725447098347,0.71717054965811,0.00748 - 0.0881
YBL044W,0.00605028917043564,0.00203923381825028,0.00635329217983327,0.320972774512599,0.00369 - 0.0111
YBL045C,0.582423428322959,0.0697557733354886,0.575277453812694,0.121255879007907,0.417 - 0.702
YBL046W,0.275332151843872,0.0526300675847307,0.284592709320032,0.184931187135742,0.206 - 0.407
YBL047C,0.376354081470299,0.0794308752383649,0.392389425357775,0.202428684631195,0.291 - 0.61
YBL049W,0.0072481518480714,0.00865372877258317,0.00953738757593706,0.907347919299897,0.00451 - 0.0398
YBL050W,0.683997806967256,0.0837243326027061,0.685342005248165,0.122164309150129,0.526 - 0.831
YBL051C,0.506032831438366,0.0844009091445763,0.49719266542535,0.169754936091768,0.339 - 0.636
YBL052C,0.361757317493286,0.0989578971461205,0.383557126252444,0.258000413427307,0.249 - 0.612
YBL054W,0.787146246030044,0.198534807075704,0.828976919901767,0.239493769138024,0.582 - 1.37
YBL055C,0.363102973605391,0.0640601864665355,0.382609227811649,0.16742979993695,0.277 - 0.514
YBL056W,0.528087429674149,0.0662124961896338,0.530340729851595,0.124848974371933,0.41 - 0.679
YBL057C,0.54655112251954,0.0662216763406539,0.560306638824586,0.118188277189744,0.46 - 0.7
YBL058W,1.00143975666421,0.11041383070799,0.995925151032397,0.11086559124803,0.783 - 1.2
YBL059C-A,0.285099229370379,0.0858769934015621,0.282654834061659,0.303822836381524,0.139 - 0.488
YBL059W,0.149860427007274,0.0313893820534572,0.154274021759729,0.203465118076353,0.104 - 0.225
YBL060W,0.185636937544902,0.0536768954972067,0.199692387444044,0.268797905539828,0.135 - 0.336
YBL061C,0.957997184480716,0.195756534198158,0.971444415686283,0.201510792627147,0.616 - 1.39
YBL063W,0.268993194592318,0.120476770444379,0.294580984923338,0.408976738521434,0.14 - 0.582
YBL064C,0.355678999624054,0.12496278893857,0.385080701418522,0.324510650568164,0.23 - 0.665
YBL066C,0.148397752691314,0.0629728788118254,0.163425851806337,0.385329971456716,0.0906 - 0.29
